id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
0,0,3,1,3,3,1,4,0,0,7,2,66,34,13,8
1,7,2,1,3,3,5,3,0,1,7,2,58,42,11,9
2,5,0,2,2,3,1,2,0,0,6,4,52,48,21,10
3,4,1,1,3,3,0,0,0,0,4,3,53,47,14,12
4,8,1,2,3,3,1,0,0,0,7,5,51,49,9,14
5,2,2,0,3,3,1,2,0,0,9,4,48,52,15,12
6,3,1,0,3,3,2,2,0,0,8,4,48,52,9,11
7,6,1,0,3,3,1,2,0,0,6,3,47,53,10,12
8,1,4,1,3,3,2,2,0,0,7,9,47,53,10,11
9,12,0,0,3,2,0,0,0,0,4,1,56,44,7,9
10,9,1,1,3,3,1,2,0,0,8,4,39,61,18,7
11,10,1,3,3,3,3,3,0,0,5,3,49,51,16,13
12,11,1,2,3,3,1,2,1,0,8,3,43,57,5,11
13,13,3,1,3,3,1,2,0,0,6,4,59,41,21,11
14,14,1,1,2,3,2,2,0,0,5,1,57,43,19,6
15,17,0,3,3,3,0,0,0,0,0,12,30,70,3,21
16,16,0,2,3,3,1,1,1,0,9,0,57,43,16,4
17,15,1,1,3,3,1,4,0,0,3,3,68,32,24,15
18,20,3,1,3,3,0,1,0,0,7,2,60,40,10,5
19,19,2,1,3,3,0,4,0,0,6,6,50,50,15,16
20,21,2,1,3,3,1,2,0,0,0,9,32,68,8,20
21,23,2,1,3,3,1,2,0,0,5,4,53,47,22,14
22,24,3,2,3,3,3,2,0,0,4,12,32,68,14,16
23,26,2,2,3,3,1,2,0,0,7,2,61,39,15,10
24,18,3,1,3,3,0,1,0,1,9,1,76,24,14,3
25,22,3,3,3,3,3,4,1,0,5,8,43,57,13,11
26,25,1,1,3,3,2,0,0,0,4,7,56,44,14,11
27,34,0,0,3,2,0,2,0,0,2,9,54,46,10,19
28,35,1,3,3,3,0,3,0,0,7,7,73,27,17,12
29,33,0,2,3,3,2,1,0,0,0,8,30,70,10,14
30,32,2,0,3,3,3,1,0,1,9,3,54,46,15,8
31,30,4,2,3,3,2,2,0,0,8,7,49,51,16,13
32,27,2,3,3,3,2,2,0,0,7,4,49,51,21,12
33,31,1,1,3,3,2,1,0,1,4,4,37,63,15,7
34,29,1,1,2,3,1,1,0,0,4,2,46,54,7,9
35,28,1,0,3,3,2,2,0,0,7,4,51,49,17,10
36,40,1,0,3,3,2,4,0,0,3,3,43,57,12,12
37,36,1,1,3,2,3,2,0,0,8,4,64,36,14,12
38,44,3,1,3,3,1,3,0,0,2,3,53,47,14,11
39,41,1,3,3,3,2,2,0,0,8,5,58,42,15,20
40,43,2,0,3,3,2,3,0,0,4,2,43,57,18,9
41,42,0,0,3,3,1,2,0,0,5,11,46,54,11,11
42,37,3,1,3,3,0,0,0,0,9,6,55,45,21,12
43,38,7,0,3,3,0,2,0,0,4,5,72,28,19,4
44,39,1,2,3,3,2,2,0,0,7,5,44,56,16,7
45,48,2,0,3,3,3,1,0,0,1,14,30,70,6,25
46,46,2,4,3,3,1,1,0,0,4,7,42,58,15,16
47,49,1,2,3,3,1,3,0,0,4,8,55,45,13,18
48,50,3,0,3,2,0,2,0,0,4,4,38,62,10,13
49,51,1,0,3,3,2,2,0,0,4,5,43,57,15,15
50,52,2,1,3,3,3,4,0,1,6,8,39,61,18,14
51,53,2,2,3,3,2,2,0,0,6,3,56,44,13,10
52,45,4,1,3,3,0,1,0,0,5,3,49,51,21,13
53,47,4,1,3,3,1,2,0,0,3,4,40,60,17,4
54,62,2,0,3,3,1,2,0,0,7,5,49,51,15,9
55,60,0,0,3,3,0,2,0,0,5,6,53,47,24,9
56,58,3,1,3,3,1,2,0,0,5,6,50,50,15,10
57,55,4,3,3,3,1,7,0,0,9,6,65,35,19,12
58,54,0,3,3,3,2,2,0,0,1,3,72,28,14,7
59,56,0,2,2,3,3,1,0,0,4,6,49,51,9,14
60,57,0,0,3,3,3,1,0,0,3,4,43,57,7,14
61,59,1,2,3,3,2,4,0,1,6,0,69,31,19,6
62,61,6,0,3,3,0,1,0,1,6,1,59,41,19,4
63,66,7,1,3,2,0,2,0,0,5,1,54,46,21,10
64,71,1,3,3,3,2,4,0,1,2,9,45,55,9,13
65,63,0,0,2,3,2,5,0,0,2,2,51,49,5,18
66,64,2,2,3,3,1,5,0,1,9,5,62,38,13,10
67,70,0,4,3,3,0,0,0,0,10,2,49,51,15,12
68,68,1,3,3,3,4,2,0,0,1,7,29,71,7,20
69,69,0,2,3,3,1,4,0,0,3,1,46,54,12,8
70,65,4,0,3,3,0,2,0,0,4,6,53,47,15,13
71,67,1,1,3,3,2,0,0,0,8,3,61,39,13,8
72,74,3,1,3,3,1,1,0,0,3,10,41,59,13,10
73,76,4,0,3,3,1,1,0,1,6,3,74,26,21,6
74,77,1,2,3,3,3,1,0,0,2,7,34,66,6,23
75,73,0,3,3,3,3,6,0,0,4,9,41,59,5,18
76,75,1,2,2,3,2,3,0,0,5,4,62,38,17,9
77,72,2,2,3,3,2,3,0,0,8,1,57,43,19,11
78,78,1,1,3,3,2,3,0,0,8,6,44,56,10,10
79,79,0,0,3,3,3,2,0,0,7,4,68,32,14,6
80,80,2,6,3,3,2,2,0,0,6,6,60,40,14,17
81,88,0,3,3,3,1,2,0,0,1,3,52,48,10,15
82,81,2,2,2,3,3,3,0,0,6,6,56,44,13,16
83,82,1,4,3,3,0,2,0,0,6,7,59,41,20,10
84,83,1,1,3,3,1,1,0,0,14,2,72,28,25,9
85,89,0,1,3,3,0,2,0,0,6,14,43,57,13,11
86,85,0,3,3,3,2,1,0,0,3,7,48,52,11,21
87,87,3,1,3,3,2,3,0,0,7,7,58,42,15,18
88,84,3,0,3,2,1,2,0,0,9,4,55,45,21,12
89,86,2,1,3,3,0,2,0,0,3,6,36,64,14,14
90,94,2,1,3,2,4,2,0,0,3,5,30,70,9,18
91,95,2,1,3,2,1,1,0,0,6,6,50,50,16,23
92,98,1,3,3,3,0,0,0,0,9,5,54,46,20,16
93,96,0,2,3,3,1,0,0,0,3,9,49,51,10,15
94,93,1,3,3,3,2,1,0,0,3,4,57,43,14,12
95,91,4,1,3,3,1,3,0,1,2,6,48,52,20,9
96,90,3,2,3,3,3,3,0,0,0,6,43,57,11,9
97,92,3,0,3,3,0,2,0,0,9,4,50,50,14,5
98,97,3,0,3,3,0,1,0,0,4,3,44,56,13,7
99,100,2,0,3,3,3,3,0,0,6,9,59,41,17,10
100,99,1,3,3,3,1,2,0,0,8,5,59,41,25,15
101,101,3,3,3,3,0,1,0,0,9,2,78,22,17,9
102,107,1,0,3,3,1,2,0,0,2,9,45,55,5,10
103,106,5,2,3,3,1,2,0,1,7,2,55,45,20,12
104,104,3,3,1,3,1,2,0,0,8,5,57,43,23,13
105,105,1,2,3,3,2,1,0,0,6,5,34,66,13,11
106,103,1,1,3,3,0,2,0,0,5,3,48,52,21,17
107,102,4,1,3,3,1,1,0,0,5,5,62,38,20,6
108,109,0,1,3,3,1,1,0,0,12,5,51,49,20,15
109,116,1,2,3,3,3,2,1,0,3,10,43,57,8,17
110,115,1,0,3,3,4,2,0,0,3,8,36,64,14,17
111,112,1,1,3,3,3,3,0,0,4,9,49,51,19,14
112,111,0,2,3,3,2,3,0,0,3,6,61,39,11,11
113,108,2,0,3,3,1,1,0,0,2,3,67,33,11,5
114,114,2,0,3,3,2,2,0,0,5,4,45,55,14,7
115,110,1,2,2,3,3,6,0,0,9,3,54,46,12,11
116,113,1,1,3,3,3,2,0,0,3,6,29,71,11,20
