id_jugador,nombre,posicion,id_equipo
0,Christian Früchtl,Portero,0
1,M. Neuer,Portero,0
2,R. Hoffmann,Portero,0
3,Sven Ulreich,Portero,0
4,A. Davies,Defensa,0
5,Á. Odriozola,Defensa,0
6,B. Pavard,Defensa,0
7,Chris Richards,Defensa,0
8,David Alaba,Defensa,0
9,J. Boateng,Defensa,0
10,Lucas Hernández,Defensa,0
11,Lukas Mai,Defensa,0
12,Niklas Süle,Defensa,0
13,C. Tolisso,Centrocampista,0
14,Ivan Perišić,Centrocampista,0
15,J. Kimmich,Centrocampista,0
16,J. Martínez,Centrocampista,0
17,Jamal Musiala,Centrocampista,0
18,L. Goretzka,Centrocampista,0
19,Leon Dajaku,Centrocampista,0
20,Mickaël Cuisance,Centrocampista,0
21,O. Batista Meier,Centrocampista,0
22,P. Coutinho,Centrocampista,0
23,S. Singh,Centrocampista,0
24,Thiago,Centrocampista,0
25,Thomas Müller,Centrocampista,0
26,Woo-Yeong Jeong,Centrocampista,0
27,Fiete Arp,Delantero,0
28,Joshua Zirkzee,Delantero,0
29,K. Coman,Delantero,0
30,K. Wriedt,Delantero,0
31,R. Lewandowski,Delantero,0
32,S. Gnabry,Delantero,0
33,E. Oelschlagel,Portero,1
34,J. Hupe,Portero,1
35,L. Unbehaun,Portero,1
36,M. Hitz,Portero,1
37,Roman Bürki,Portero,1
38,A. Hakimi,Defensa,1
39,D. Zagadou,Defensa,1
40,L. Balerdi,Defensa,1
41,L. Piszczek,Defensa,1
42,M. Akanji,Defensa,1
43,M. Hummels,Defensa,1
44,M. Rente,Defensa,1
45,M. Schmelzer,Defensa,1
46,Mateu Morey,Defensa,1
47,N. Schulz,Defensa,1
48,R. Guerreiro,Defensa,1
49,Alaa Bakir,Centrocampista,1
50,Axel Witsel,Centrocampista,1
51,Emre Can,Centrocampista,1
52,Gio Reyna,Centrocampista,1
53,I. Pherai,Centrocampista,1
54,Julian Brandt,Centrocampista,1
55,M. Dahoud,Centrocampista,1
56,Marco Reus,Centrocampista,1
57,Mario Götze,Centrocampista,1
58,P. Osterhage,Centrocampista,1
59,T. Delaney,Centrocampista,1
60,T. Duman,Centrocampista,1
61,Tobias Raschl,Centrocampista,1
62,Chris Fuhrich,Delantero,1
63,E. Haaland,Delantero,1
64,Jadon Sancho,Delantero,1
65,T. Hazard,Delantero,1
66,P. Gulácsi,Portero,2
67,P. Tschauner,Portero,2
68,Yvon Mvogo,Portero,2
69,Angeliño,Defensa,2
70,D. Upamecano,Defensa,2
71,F. Jäkel,Defensa,2
72,I. Konate,Defensa,2
73,L. Klostermann,Defensa,2
74,M. Halstenberg,Defensa,2
75,Malik Talabidi,Defensa,2
76,N. Mukiele,Defensa,2
77,W. Orban,Defensa,2
78,A. Haidara,Centrocampista,2
79,A. Lookman,Centrocampista,2
80,C. Nkunku,Centrocampista,2
81,Dani Olmo,Centrocampista,2
82,Emil Forsberg,Centrocampista,2
83,Ethan Ampadu,Centrocampista,2
84,K. Kampl,Centrocampista,2
85,K. Laimer,Centrocampista,2
86,Marcel Sabitzer,Centrocampista,2
87,T. Adams,Centrocampista,2
88,Tom Krauß,Centrocampista,2
89,D. Borkowski,Delantero,2
90,Fabrice Hartmann,Delantero,2
91,Hannes Wolf,Delantero,2
92,Oliver Bias,Delantero,2
93,Patrik Schick,Delantero,2
94,Timo Werner,Delantero,2
95,Yussuf Poulsen,Delantero,2
96,M. Grun,Portero,3
97,Tobias Sippel,Portero,3
98,Yann Sommer,Portero,3
99,Kaan Kurt,Defensa,3
100,Keanan Bennetts,Defensa,3
101,M. Doucoure,Defensa,3
102,Matthias Ginter,Defensa,3
103,Nico Elvedi,Defensa,3
104,O. Wendt,Defensa,3
105,R. Bensebaini,Defensa,3
106,Stefan Lainer,Defensa,3
107,T. Jantschke,Defensa,3
108,A. Herzog,Centrocampista,3
