id_equipo,temporada,liga,nombre
18,2023,bundesliga,Bayern-Munchen
19,2023,bundesliga,Borussia-Dortmund
20,2023,bundesliga,Rb-Leipzig
21,2023,bundesliga,1-Fc-Union-Berlin
22,2023,bundesliga,Sc-Freiburg
23,2023,bundesliga,Bayer-Leverkusen
24,2023,bundesliga,Eintracht-Frankfurt
25,2023,bundesliga,Wolfsburg
26,2023,bundesliga,Mainz-Amat
27,2023,bundesliga,Borussia-Monchengla
28,2023,bundesliga,1-Fc-Koln
29,2023,bundesliga,Tsg-1899-Hoffenheim
30,2023,bundesliga,Werder-Bremen
31,2023,bundesliga,Bochum
32,2023,bundesliga,Fc-Augsburg
33,2023,bundesliga,Stuttgart
34,2023,bundesliga,Schalke-04
35,2023,bundesliga,Hertha-Bsc
