id_partido,fecha,temporada,liga,jornada,id_equipo_local,id_equipo_visitante,finalizado
306,2022-08-05,2023,bundesliga,1,24,18,1
307,2022-08-06,2023,bundesliga,1,19,23,1
308,2022-08-06,2023,bundesliga,1,21,35,1
310,2022-08-06,2023,bundesliga,1,27,29,1
311,2022-08-06,2023,bundesliga,1,25,30,1
312,2022-08-06,2023,bundesliga,1,31,26,1
313,2022-08-06,2023,bundesliga,1,32,22,1
309,2022-08-07,2023,bundesliga,1,28,34,1
314,2022-08-07,2023,bundesliga,1,33,20,1
318,2022-08-12,2023,bundesliga,2,22,19,1
323,2022-08-13,2023,bundesliga,2,30,33,1
322,2022-08-13,2023,bundesliga,2,34,27,1
321,2022-08-13,2023,bundesliga,2,35,24,1
320,2022-08-13,2023,bundesliga,2,29,31,1
316,2022-08-13,2023,bundesliga,2,23,32,1
317,2022-08-13,2023,bundesliga,2,20,28,1
315,2022-08-14,2023,bundesliga,2,18,25,1
319,2022-08-14,2023,bundesliga,2,26,21,1
327,2022-08-19,2023,bundesliga,3,27,35,1
329,2022-08-20,2023,bundesliga,3,25,34,1
332,2022-08-20,2023,bundesliga,3,33,22,1
331,2022-08-20,2023,bundesliga,3,32,26,1
325,2022-08-20,2023,bundesliga,3,23,29,1
326,2022-08-20,2023,bundesliga,3,21,20,1
324,2022-08-20,2023,bundesliga,3,19,30,1
330,2022-08-21,2023,bundesliga,3,31,18,1
328,2022-08-21,2023,bundesliga,3,24,28,1
335,2022-08-26,2023,bundesliga,4,22,31,1
340,2022-08-27,2023,bundesliga,4,34,21,1
339,2022-08-27,2023,bundesliga,4,35,19,1
338,2022-08-27,2023,bundesliga,4,29,32,1
337,2022-08-27,2023,bundesliga,4,26,23,1
334,2022-08-27,2023,bundesliga,4,20,25,1
333,2022-08-27,2023,bundesliga,4,18,27,1
341,2022-08-28,2023,bundesliga,4,30,24,1
336,2022-08-28,2023,bundesliga,4,28,33,1
342,2022-09-02,2023,bundesliga,5,19,29,1
348,2022-09-03,2023,bundesliga,5,31,30,1
350,2022-09-03,2023,bundesliga,5,33,34,1
347,2022-09-03,2023,bundesliga,5,25,28,1
343,2022-09-03,2023,bundesliga,5,23,22,1
344,2022-09-03,2023,bundesliga,5,21,18,1
346,2022-09-03,2023,bundesliga,5,24,20,1
345,2022-09-04,2023,bundesliga,5,27,26,1
349,2022-09-04,2023,bundesliga,5,32,35,1
359,2022-09-09,2023,bundesliga,6,30,32,1
351,2022-09-10,2023,bundesliga,6,18,33,1
352,2022-09-10,2023,bundesliga,6,20,19,1
355,2022-09-10,2023,bundesliga,6,29,26,1
356,2022-09-10,2023,bundesliga,6,24,25,1
357,2022-09-10,2023,bundesliga,6,35,23,1
358,2022-09-10,2023,bundesliga,6,34,31,1
353,2022-09-11,2023,bundesliga,6,22,27,1
354,2022-09-11,2023,bundesliga,6,28,21,1
363,2022-09-16,2023,bundesliga,7,26,35,1
361,2022-09-17,2023,bundesliga,7,27,20,1
365,2022-09-17,2023,bundesliga,7,33,24,1
366,2022-09-17,2023,bundesliga,7,19,34,1
367,2022-09-17,2023,bundesliga,7,23,30,1
