id_equipo,temporada,liga,nombre
0,2019,premier,Manchester-City-Fc
1,2019,premier,Liverpool
2,2019,premier,Chelsea-Fc
3,2019,premier,Tottenham-Hotspur-Fc
4,2019,premier,Arsenal
5,2019,premier,Manchester-United-Fc
6,2019,premier,Wolverhampton
7,2019,premier,Everton-Fc
8,2019,premier,Leicester-City-Fc
9,2019,premier,West-Ham-United
10,2019,premier,Watford-Fc
11,2019,premier,Crystal-Palace-Fc
12,2019,premier,Newcastle-United-Fc
13,2019,premier,Afc-Bournemouth
14,2019,premier,Burnley-Fc
15,2019,premier,Southampton-Fc
16,2019,premier,Brighton-Amp-Hov
17,2019,premier,Cardiff-City-Fc
18,2019,premier,Fulham
19,2019,premier,Huddersfield-Town-Fc
