id_dato_jugador_partido,id_jugador,id_partido,titular,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
0,393,0,1,0,0,0,-1,0,0,-1
1,405,0,1,0,0,0,-1,0,0,-1
2,406,0,1,0,0,0,-1,0,0,-1
3,398,0,1,0,0,0,-1,0,0,-1
4,397,0,1,1,0,0,81,0,0,408
5,407,0,1,0,0,0,-1,0,0,-1
6,410,0,1,1,0,0,74,0,0,412
7,409,0,1,0,0,0,-1,0,0,-1
8,413,0,1,0,0,0,-1,1,0,-1
9,418,0,1,0,0,0,-1,0,0,-1
10,420,0,1,0,0,0,-1,0,1,-1
11,394,0,0,0,0,0,-1,0,0,-1
12,610,0,0,0,0,0,-1,0,0,-1
13,400,0,0,0,0,0,-1,0,0,-1
14,412,0,0,0,0,0,74,0,0,-1
15,408,0,0,0,0,0,81,0,0,-1
16,611,0,0,0,0,0,-1,0,0,-1
17,419,0,0,0,0,0,-1,0,0,-1
18,421,0,1,0,0,0,-1,0,0,-1
19,427,0,1,0,0,0,46,0,0,425
20,426,0,1,0,0,0,-1,0,0,-1
21,431,0,1,0,0,0,-1,0,0,-1
22,429,0,1,1,0,0,-1,0,0,-1
23,439,0,1,0,0,0,-1,0,0,-1
24,437,0,1,0,0,0,-1,0,0,-1
25,442,0,1,0,0,0,77,0,0,447
26,448,0,1,0,0,0,-1,0,0,-1
27,445,0,1,0,0,0,-1,0,0,-1
28,443,0,1,0,0,0,85,0,0,613
29,422,0,0,0,0,0,-1,0,0,-1
30,425,0,0,0,0,0,46,0,0,-1
31,612,0,0,0,0,0,-1,0,0,-1
32,449,0,0,0,0,0,-1,0,0,-1
33,446,0,0,0,0,0,-1,0,0,-1
34,447,0,0,0,0,0,77,0,0,-1
35,613,0,0,0,0,0,85,0,0,-1
36,515,1,1,0,0,0,-1,0,0,-1
37,526,1,1,0,0,0,-1,0,0,-1
38,522,1,1,1,0,0,-1,0,0,-1
39,520,1,1,0,0,0,-1,0,0,-1
40,518,1,1,0,0,0,-1,0,0,-1
41,536,1,1,1,0,0,-1,0,0,-1
42,530,1,1,0,0,0,-1,0,0,-1
43,531,1,1,0,0,0,75,0,0,528
44,539,1,1,0,0,0,-1,0,0,-1
45,614,1,1,0,0,0,63,0,0,537
46,615,1,1,0,0,0,63,0,0,538
47,513,1,0,0,0,0,-1,0,0,-1
48,616,1,0,0,0,0,-1,0,0,-1
49,617,1,0,0,0,0,-1,0,0,-1
50,528,1,0,0,0,0,75,0,0,-1
51,537,1,0,0,0,0,63,0,0,-1
52,618,1,0,0,0,0,-1,0,0,-1
53,538,1,0,0,0,0,63,0,0,-1
54,212,1,1,0,0,0,-1,0,0,-1
55,219,1,1,0,0,0,-1,0,1,-1
56,221,1,1,0,0,0,-1,0,0,-1
57,223,1,1,0,0,0,-1,0,0,-1
58,220,1,1,1,0,0,-1,0,0,-1
59,225,1,1,0,0,0,79,0,0,224
60,227,1,1,0,0,0,-1,0,0,-1
61,619,1,1,0,0,0,-1,0,0,-1
62,236,1,1,1,0,0,-1,0,1,-1
