Club,Valor_mercado_total_millones
Manchester City,1040.00
Liverpool FC,969.65
Chelsea FC,889.20
Manchester United,770.05
Tottenham Hotspur,703.50
Arsenal FC,619.25
Everton FC,511.20
Leicester City,510.60
Wolverhampton Wanderers,450.30
Aston Villa,430.70
West Ham United,334.90
Brighton & Hove Albion,290.00
Southampton FC,282.80
Newcastle United,255.35
Fulham FC,239.75
Leeds United,238.10
Crystal Palace,193.85
Sheffield United,149.85
West Bromwich Albion,141.15
Burnley FC,132.30
