id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
0,0,2,0,3,3,0,0,0,0,2,5,35,65,8,22
1,1,1,2,3,3,2,1,0,0,7,6,36,64,14,14
2,2,3,0,3,3,0,0,0,0,5,2,62,38,13,4
3,3,3,1,3,3,2,0,0,0,6,8,47,53,14,6
4,4,1,0,3,3,1,2,0,0,4,4,56,44,9,17
5,5,5,1,3,3,1,2,0,0,5,4,49,51,16,10
6,7,0,3,2,3,1,1,0,0,3,11,49,51,12,19
7,9,3,2,3,3,3,1,0,0,2,4,38,62,13,11
8,6,2,4,3,3,1,0,0,0,7,6,47,53,17,18
9,8,1,0,3,3,2,1,0,0,3,11,33,67,13,18
10,15,2,0,3,2,0,0,0,0,8,4,66,34,27,9
11,14,2,2,2,3,2,4,0,0,8,5,70,30,17,17
12,13,0,0,1,3,3,1,0,0,3,5,52,48,6,14
13,16,5,0,3,3,1,0,0,0,6,1,67,33,16,1
14,11,2,0,3,3,3,4,0,0,3,4,47,53,10,9
15,12,2,0,3,3,4,0,0,0,7,2,57,43,13,10
16,10,0,2,3,3,3,0,0,0,9,8,35,65,6,22
17,17,1,1,3,3,2,3,0,0,7,7,36,64,8,15
18,19,0,1,3,3,1,4,0,0,5,4,58,42,25,8
19,18,4,1,2,3,0,1,0,1,10,0,52,48,19,5
20,28,2,2,2,1,1,0,0,0,5,3,45,55,14,9
21,26,1,2,3,3,2,1,0,0,9,9,44,56,14,9
22,25,2,2,2,3,3,3,0,0,4,4,36,64,10,22
23,24,5,0,3,3,1,2,0,1,14,0,81,19,25,1
24,23,1,1,3,3,0,2,0,1,12,3,65,35,23,6
25,21,0,2,3,2,1,2,0,0,4,5,66,34,14,14
26,20,1,1,3,3,3,3,0,0,3,2,46,54,7,9
27,27,1,0,2,3,3,3,0,0,10,3,57,43,15,10
28,29,0,1,3,3,3,4,0,0,5,7,44,56,15,10
29,22,1,1,2,2,4,3,0,0,5,5,35,65,12,11
30,37,4,1,3,3,1,0,0,0,7,3,65,35,21,12
31,39,0,2,2,2,3,3,0,0,6,8,43,57,8,14
32,38,0,0,2,2,3,3,0,1,5,4,41,59,10,14
33,36,0,1,3,2,1,2,0,0,5,8,38,62,6,24
34,30,1,0,3,3,2,2,0,0,8,4,51,49,28,10
35,33,3,0,3,2,2,3,0,1,8,2,62,38,18,2
36,32,3,0,3,3,1,4,0,0,4,11,57,43,12,18
37,31,0,1,3,3,3,2,0,0,1,4,40,60,7,4
38,35,0,3,3,3,2,1,1,0,2,11,43,57,9,30
39,34,3,1,3,3,1,1,0,0,4,6,52,48,14,11
40,45,1,1,3,3,2,2,0,0,4,5,35,65,17,21
41,49,0,2,3,3,4,4,0,1,4,2,62,38,11,9
42,40,3,0,4,4,1,1,0,0,5,4,55,45,13,11
43,42,0,1,3,3,2,1,0,0,8,3,44,56,18,13
44,43,3,0,3,3,3,1,0,0,10,5,60,40,25,13
45,44,0,0,3,3,0,2,0,0,8,5,63,37,16,10
46,46,1,3,3,3,1,1,0,0,4,8,47,53,12,12
47,48,1,2,3,3,0,0,0,0,2,11,38,62,12,17
48,41,2,1,3,3,2,1,0,0,4,9,37,63,12,14
49,47,0,3,3,2,0,1,0,0,5,11,47,53,8,19
50,51,3,3,3,1,1,1,0,0,2,11,32,68,12,16
51,52,0,1,3,3,3,2,0,0,4,13,39,61,5,15
52,54,2,0,3,3,2,3,0,0,6,4,46,54,11,10
53,55,1,2,3,3,3,2,0,0,5,7,53,47,15,21
54,56,2,2,3,3,2,4,0,0,8,3,67,33,22,10
55,57,0,1,3,2,2,2,0,0,5,5,59,41,28,7
56,59,1,1,4,2,4,3,0,0,5,6,52,48,15,20
57,50,3,1,3,3,2,1,0,0,4,4,47,53,12,10
58,58,0,1,3,3,0,0,0,0,5,5,57,43,18,5
59,53,1,1,3,3,2,5,0,0,6,5,46,54,8,8
60,69,2,1,2,3,0,2,0,0,0,4,51,49,7,8
61,64,1,0,2,3,0,3,0,0,6,3,67,33,20,5
62,66,1,1,3,2,1,1,0,0,10,1,71,29,13,12
63,61,0,0,3,3,5,2,0,0,9,5,56,44,14,11
64,62,3,1,3,3,1,3,0,1,7,2,61,39,20,6
65,60,0,0,2,3,2,1,0,0,8,5,58,42,21,8
66,63,2,2,3,3,2,3,0,0,1,3,59,41,17,9
67,65,2,2,2,1,3,3,0,0,3,4,54,46,6,12
68,67,2,1,2,3,2,1,0,0,5,8,56,44,17,13
69,68,1,2,0,3,2,3,0,0,10,6,60,40,18,12
