id_jugador,nombre,posicion,id_equipo
505,Ederson,Portero,20
506,Scott Carson,Portero,20
507,Stefan Ortega,Portero,20
508,A. Laporte,Defensa,20
509,Benjamin Mendy,Defensa,20
510,John Stones,Defensa,20
511,Kyle Walker,Defensa,20
512,M. Akanji,Defensa,20
513,Nathan Aké,Defensa,20
514,Rico Lewis,Defensa,20
515,Rúben Dias,Defensa,20
516,Sergio Gómez,Defensa,20
517,Alex Robertson,Centrocampista,20
518,Bernardo Silva,Centrocampista,20
519,Cole Palmer,Centrocampista,20
520,İ. Gündoğan,Centrocampista,20
521,K. De Bruyne,Centrocampista,20
522,Kalvin Phillips,Centrocampista,20
523,M. Perrone,Centrocampista,20
524,Nico O'reilly,Centrocampista,20
525,Rodri,Centrocampista,20
526,Shea Charles,Centrocampista,20
527,Benjamin Knight,Delantero,20
528,E. Haaland,Delantero,20
529,Jack Grealish,Delantero,20
530,Julián Álvarez,Delantero,20
531,Phil Foden,Delantero,20
532,R. Mahrez,Delantero,20
533,A. Ramsdale,Portero,21
534,Karl Hein,Portero,21
535,Matt Turner,Portero,21
536,Ben White,Defensa,21
537,Gabriel Magalhães,Defensa,21
538,Jakub Kiwior,Defensa,21
539,K. Tierney,Defensa,21
540,Lino Sousa,Defensa,21
541,O. Zinchenko,Defensa,21
542,Reuell Walters,Defensa,21
543,Rob Holding,Defensa,21
544,T. Tomiyasu,Defensa,21
545,W. Saliba,Defensa,21
546,E. Nwaneri,Centrocampista,21
547,Fábio Vieira,Centrocampista,21
548,Granit Xhaka,Centrocampista,21
549,Jorginho,Centrocampista,21
550,M. Bandeira,Centrocampista,21
551,M. Elneny,Centrocampista,21
552,M. Ødegaard,Centrocampista,21
553,Matt Smith,Centrocampista,21
554,Smith Rowe,Centrocampista,21
555,Thomas,Centrocampista,21
556,A. Cozier-Duberry,Delantero,21
557,Bukayo Saka,Delantero,21
558,Edward Nketiah,Delantero,21
559,Gabriel Jesus,Delantero,21
560,L. Trossard,Delantero,21
561,Martinelli,Delantero,21
562,Reiss Nelson,Delantero,21
563,D. De Gea,Portero,22
564,J. Butland,Portero,22
565,Nathan Bishop,Portero,22
566,Tom Heaton,Portero,22
567,A. Wan-Bissaka,Defensa,22
568,Brandon Williams,Defensa,22
569,Diogo Dalot,Defensa,22
570,Harry Maguire,Defensa,22
571,Lisandro Martínez,Defensa,22
572,Luke Shaw,Defensa,22
573,Marc Jurado,Defensa,22
574,Phil Jones,Defensa,22
575,R. Varane,Defensa,22
576,Rhys Bennett,Defensa,22
577,Tyrell Malacia,Defensa,22
578,Victor Lindelöf,Defensa,22
579,Bruno Fernandes,Centrocampista,22
580,C. Eriksen,Centrocampista,22
581,Casemiro,Centrocampista,22
582,D. Van De Beek,Centrocampista,22
583,Fred,Centrocampista,22
584,K. Mainoo,Centrocampista,22
585,Marcel Sabitzer,Centrocampista,22
586,S. Mctominay,Centrocampista,22
587,Zidane Iqbal,Centrocampista,22
588,A. Elanga,Delantero,22
589,A. Garnacho,Delantero,22
590,A. Martial,Delantero,22
591,Antony,Delantero,22
592,F. Pellistri,Delantero,22
593,Jadon Sancho,Delantero,22
594,M. Greenwood,Delantero,22
595,M. Rashford,Delantero,22
596,W. Weghorst,Delantero,22
597,Loris Karius,Portero,23
598,M. Dúbravka,Portero,23
599,Mark Gillespie,Portero,23
600,Nick Pope,Portero,23
601,Dan Burn,Defensa,23
602,Emil Krafth,Defensa,23
603,Fabian Schär,Defensa,23
604,Harrison Ashby,Defensa,23
605,J. Lascelles,Defensa,23
606,J. Manquillo,Defensa,23
607,Jamal Lewis,Defensa,23
608,K. Trippier,Defensa,23
609,Matt Ritchie,Defensa,23
610,Matt Targett,Defensa,23
611,Paul Dummett,Defensa,23
612,Sven Botman,Defensa,23
613,B. Guimarães,Centrocampista,23
614,E. Anderson,Centrocampista,23
615,Joe Willock,Centrocampista,23
616,Joelinton,Centrocampista,23
617,Lewis Miley,Centrocampista,23
618,Matthew Longstaff,Centrocampista,23
619,S. Longstaff,Centrocampista,23
620,A. Saint-Maximin,Delantero,23
621,Alexander Isak,Delantero,23
622,Anthony Gordon,Delantero,23
623,Callum Wilson,Delantero,23
624,Jacob Murphy,Delantero,23
625,M. Almirón,Delantero,23
626,Ryan Fraser,Delantero,23
627,Adrián,Portero,24
628,Alisson,Portero,24
629,C. Kelleher,Portero,24
630,Harvey Davies,Portero,24
631,A. Robertson,Defensa,24
632,Alexander-Arnold,Defensa,24
633,Calvin Ramsay,Defensa,24
634,I. Konate,Defensa,24
635,Joe Gomez,Defensa,24
636,Joël Matip,Defensa,24
637,K. Tsimikas,Defensa,24
638,Nat Phillips,Defensa,24
639,Rhys Williams,Defensa,24
640,V. Van Dijk,Defensa,24
641,A. Oxlade-Chamberlain,Centrocampista,24
642,Arthur,Centrocampista,24
643,Bobby Clark,Centrocampista,24
644,Curtis Jones,Centrocampista,24
645,Fabinho,Centrocampista,24
646,Fábio Carvalho,Centrocampista,24
647,Harvey Elliott,Centrocampista,24
648,J. Henderson,Centrocampista,24
649,James Milner,Centrocampista,24
650,Naby Keïta,Centrocampista,24
651,S. Bajčetić,Centrocampista,24
652,Thiago,Centrocampista,24
653,Ben Doak,Delantero,24
654,Cody Gakpo,Delantero,24
655,Darwin Núñez,Delantero,24
656,Diogo Jota,Delantero,24
657,Luis Díaz,Delantero,24
658,M. Salah,Delantero,24
659,Roberto Firmino,Delantero,24
660,Jason Steele,Portero,25
661,Robert Sánchez,Portero,25
662,Tom Mcgill,Portero,25
663,Adam Webster,Defensa,25
664,Imari Samuels,Defensa,25
665,J. Van Hecke,Defensa,25
666,Joël Veltman,Defensa,25
667,Levi Colwill,Defensa,25
668,Lewis Dunk,Defensa,25
669,Oddel Offiah,Defensa,25
670,P. Estupiñán,Defensa,25
671,Tariq Lamptey,Defensa,25
672,A. Lallana,Centrocampista,25
673,A. Mac Allister,Centrocampista,25
674,Andy Moran,Centrocampista,25
675,Billy Gilmour,Centrocampista,25
676,C. Peupion,Centrocampista,25
677,F. Buonanotte,Centrocampista,25
678,J. Hinshelwood,Centrocampista,25
679,Jakub Moder,Centrocampista,25
680,Jeremy Sarmiento,Centrocampista,25
681,Julio Enciso,Centrocampista,25
682,Moisés Caicedo,Centrocampista,25
683,Pascal Groß,Centrocampista,25
684,Yasin Ayari,Centrocampista,25
685,Danny Welbeck,Delantero,25
686,Deniz Undav,Delantero,25
687,Evan Ferguson,Delantero,25
688,K. Mitoma,Delantero,25
689,Solly March,Delantero,25
690,Emiliano Martínez,Portero,26
691,James Wright,Portero,26
692,Jed Steer,Portero,26
693,Oliwier Zych,Portero,26
694,Robin Olsen,Portero,26
695,V. Sinisalo,Portero,26
696,Álex Moreno,Defensa,26
697,Ashley Young,Defensa,26
698,C. Chambers,Defensa,26
699,Diego Carlos,Defensa,26
700,E. Konsa,Defensa,26
701,Lucas Digne,Defensa,26
702,Matty Cash,Defensa,26
703,Sebastian Revan,Defensa,26
704,Sil Swinkels,Defensa,26
705,T. Mings,Defensa,26
706,Travis Patterson,Defensa,26
707,B. Kamara,Centrocampista,26
708,Douglas Luiz,Centrocampista,26
709,J. Mcginn,Centrocampista,26
710,Jacob Ramsey,Centrocampista,26
711,L. Dendoncker,Centrocampista,26
712,P. Coutinho,Centrocampista,26
713,Tommi O'reilly,Centrocampista,26
714,B. Traoré,Delantero,26
715,E. Buendía,Delantero,26
716,Jhon Durán,Delantero,26
717,Kadan Young,Delantero,26
718,Leon Bailey,Delantero,26
719,Ollie Watkins,Delantero,26
720,Alfie Whiteman,Portero,27
721,Brandon Austin,Portero,27
722,F. Forster,Portero,27
723,Hugo Lloris,Portero,27
724,Ben Davies,Defensa,27
725,C. Lenglet,Defensa,27
726,Cristian Romero,Defensa,27
727,D. Sánchez,Defensa,27
728,Emerson Royal,Defensa,27
729,Eric Dier,Defensa,27
730,Ivan Perišić,Defensa,27
731,J. Tanganga,Defensa,27
732,Pedro Porro,Defensa,27
733,R. Sessegnon,Defensa,27
734,Alfie Devine,Centrocampista,27
735,George Abbott,Centrocampista,27
736,Matthew Craig,Centrocampista,27
737,Oliver Skipp,Centrocampista,27
738,P. Højbjerg,Centrocampista,27
739,Pape Sarr,Centrocampista,27
740,R. Bentancur,Centrocampista,27
741,Y. Bissouma,Centrocampista,27
742,A. Danjuma,Delantero,27
743,D. Kulusevski,Delantero,27
744,Harry Kane,Delantero,27
745,Heung-Min Son,Delantero,27
746,Lucas Moura,Delantero,27
747,R. Mundle,Delantero,27
748,Richarlison,Delantero,27
749,Yago Santiago,Delantero,27
750,David Raya,Portero,28
751,Matthew Cox,Portero,28
752,T. Strakosha,Portero,28
753,Aaron Hickey,Defensa,28
754,Ben Mee,Defensa,28
755,E. Pinnock,Defensa,28
756,Finley Stevens,Defensa,28
757,K. Ajer,Defensa,28
758,Mads Roerslev,Defensa,28
759,P. Jansson,Defensa,28
760,Rico Henry,Defensa,28
761,T. Crama,Defensa,28
762,Zanka,Defensa,28
763,C. Nørgaard,Centrocampista,28
764,Frank Onyeka,Centrocampista,28
765,Josh Dasilva,Centrocampista,28
766,Mathias Jensen,Centrocampista,28
767,R. Trevitt,Centrocampista,28
768,S. Baptiste,Centrocampista,28
769,S. Ghoddos,Centrocampista,28
770,Vitaly Janelt,Centrocampista,28
771,Y. Yarmolyuk,Centrocampista,28
772,Bryan Mbeumo,Delantero,28
773,Ivan Toney,Delantero,28
774,K. Lewis-Potter,Delantero,28
775,Kevin Schade,Delantero,28
776,M. Damsgaard,Delantero,28
777,M. Olakigbe,Delantero,28
778,Yoane Wissa,Delantero,28
779,B. Leno,Portero,29
780,George Wickens,Portero,29
781,M. Rodak,Portero,29
782,A. Robinson,Defensa,29
783,Cédric Soares,Defensa,29
784,Charlie Robinson,Defensa,29
785,Issa Diop,Defensa,29
786,Kenny Tete,Defensa,29
787,L. Kurzawa,Defensa,29
788,Shane Duffy,Defensa,29
789,Stefan Parkes,Defensa,29
790,T. Adarabioyo,Defensa,29
791,Tim Ream,Defensa,29
792,Andreas Pereira,Centrocampista,29
793,Bobby Reid,Centrocampista,29
794,H. Reed,Centrocampista,29
795,J. Palhinha,Centrocampista,29
796,K. Sekularac,Centrocampista,29
797,Luke Harris,Centrocampista,29
798,Matt Dibley-Dias,Centrocampista,29
799,Saša Lukić,Centrocampista,29
800,T. Francois,Centrocampista,29
801,Tom Cairney,Centrocampista,29
802,A. Mitrović,Delantero,29
803,Daniel James,Delantero,29
804,Harry Wilson,Delantero,29
805,M. Solomon,Delantero,29
806,Martial Godo,Delantero,29
807,N. Kebano,Delantero,29
808,Terry Ablade,Delantero,29
809,Vinícius,Delantero,29
810,Willian,Delantero,29
811,Joe Whitworth,Portero,30
812,Owen Goodman,Portero,30
813,Sam Johnstone,Portero,30
814,V. Guaita,Portero,30
815,Chris Richards,Defensa,30
816,J. Andersen,Defensa,30
817,J. Tomkins,Defensa,30
818,Jeffrey Schlupp,Defensa,30
819,Joel Ward,Defensa,30
820,Kayden Rodney,Defensa,30
821,Kofi Balmer,Defensa,30
822,Marc Guehi,Defensa,30
823,N. Clyne,Defensa,30
824,Nathan Ferguson,Defensa,30
825,T. Adaramola,Defensa,30
826,Tyrick Mitchell,Defensa,30
827,A. Lokonga,Centrocampista,30
828,C. Doucouré,Centrocampista,30
829,David Ozoh,Centrocampista,30
830,E. Eze,Centrocampista,30
831,J. Mcarthur,Centrocampista,30
832,Jack Wells-Morrison,Centrocampista,30
833,Jairo Riedewald,Centrocampista,30
834,L. Milivojevic,Centrocampista,30
835,N. Ahamada,Centrocampista,30
836,Will Hughes,Centrocampista,30
837,Jean Mateta,Delantero,30
838,Jordan Ayew,Delantero,30
839,Michael Olise,Delantero,30
840,O. Edouard,Delantero,30
841,Wilfried Zaha,Delantero,30
842,E. Mendy,Portero,31
843,Ethan Wady,Portero,31
844,Gabriel Slonina,Portero,31
845,Kepa,Portero,31
846,Marcus Bettinelli,Portero,31
847,Alfie Gilchrist,Defensa,31
848,B. Badiashile,Defensa,31
849,Ben Chilwell,Defensa,31
850,C. Azpilicueta,Defensa,31
851,K. Koulibaly,Defensa,31
852,Lewis Hall,Defensa,31
853,M. Cucurella,Defensa,31
854,Reece James,Defensa,31
855,Thiago Silva,Defensa,31
856,Trevoh Chalobah,Defensa,31
857,W. Fofana,Defensa,31
858,C. Chukwuemeka,Centrocampista,31
859,C. Gallagher,Centrocampista,31
860,D. Zakaria,Centrocampista,31
861,E. Fernández,Centrocampista,31
862,Harvey Vale,Centrocampista,31
863,Kai Havertz,Centrocampista,31
864,Mason Mount,Centrocampista,31
865,Mateo Kovačić,Centrocampista,31
866,N. Kanté,Centrocampista,31
867,A. Broja,Delantero,31
868,C. Pulišić,Delantero,31
869,David Fofana,Delantero,31
870,Hakim Ziyech,Delantero,31
871,João Félix,Delantero,31
872,M. Mudryk,Delantero,31
873,Noni Madueke,Delantero,31
874,O. Hutchinson,Delantero,31
875,P. Aubameyang,Delantero,31
876,R. Sterling,Delantero,31
877,Dan Bentley,Portero,32
878,José Sá,Portero,32
879,Craig Dawson,Defensa,32
880,D. Lembikisa,Defensa,32
881,Hugo Bueno,Defensa,32
882,Jonny,Defensa,32
883,Max Kilman,Defensa,32
884,Nathan Collins,Defensa,32
885,Nélson Semedo,Defensa,32
886,R. Aït-Nouri,Defensa,32
887,Toti Gomes,Defensa,32
888,Boubacar Traore,Centrocampista,32
889,Harvey Griffiths,Centrocampista,32
890,João Gomes,Centrocampista,32
891,João Moutinho,Centrocampista,32
892,Joe Hodge,Centrocampista,32
893,Mario Lemina,Centrocampista,32
894,Matheus Nunes,Centrocampista,32
895,Rúben Neves,Centrocampista,32
896,Adama Traoré,Delantero,32
897,Chiquinho,Delantero,32
898,Daniel Podence,Delantero,32
899,Diego Costa,Delantero,32
900,Hee-Chan Hwang,Delantero,32
901,Matheus Cunha,Delantero,32
902,Nathan Fraser,Delantero,32
903,Pablo Sarabia,Delantero,32
904,Pedro Neto,Delantero,32
905,Raúl Jiménez,Delantero,32
906,S. Kalajdžić,Delantero,32
907,A. Aréola,Portero,33
908,Joseph Anang,Portero,33
909,L. Fabianski,Portero,33
910,A. Cresswell,Defensa,33
911,A. Ogbonna,Defensa,33
912,Ben Johnson,Defensa,33
913,Emerson,Defensa,33
914,Kaelan Casey,Defensa,33
915,Kurt Zouma,Defensa,33
916,Nayef Aguerd,Defensa,33
917,Thilo Kehrer,Defensa,33
918,V. Coufal,Defensa,33
919,Declan Rice,Centrocampista,33
920,F. Downes,Centrocampista,33
921,L. Paquetá,Centrocampista,33
922,M. Lanzini,Centrocampista,33
923,Pablo Fornals,Centrocampista,33
