id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante
380,385,2,1,5,5,5,3,0,0,5,2,34,66,12,10
381,381,0,0,5,4,3,6,1,0,8,0,67,33,21,4
382,383,2,2,4,4,5,2,0,0,3,3,59,41,8,10
383,388,0,3,5,4,1,0,0,0,4,5,52,48,12,10
384,384,0,1,5,5,4,2,0,0,3,6,40,60,7,15
385,386,1,2,5,5,3,1,0,0,2,15,32,68,10,29
386,389,1,0,5,5,2,3,1,0,4,4,46,54,17,5
387,380,0,0,5,4,0,6,0,0,7,2,64,36,23,6
388,382,3,0,5,5,3,6,0,1,8,4,72,28,17,4
389,387,0,3,4,5,2,1,0,0,3,6,42,58,10,12
390,394,1,1,5,5,3,2,1,1,12,2,61,39,18,6
391,393,0,2,4,5,2,5,1,1,9,2,54,46,13,8
392,398,2,0,5,5,2,5,0,1,2,2,56,44,16,9
393,396,1,2,4,3,7,8,0,0,5,2,47,53,13,8
394,392,1,4,3,5,2,2,0,0,2,2,51,49,15,16
395,395,1,4,5,5,2,1,0,0,3,6,41,59,10,15
396,391,0,2,5,4,2,3,1,0,5,6,50,50,13,19
397,390,1,0,5,5,5,2,0,0,6,3,37,63,12,10
398,397,3,1,4,2,2,6,0,1,5,2,67,33,12,7
399,399,1,1,5,4,1,4,0,1,6,5,54,46,13,12
400,401,1,0,4,5,0,3,1,0,2,4,54,46,7,12
401,408,0,1,5,4,2,1,0,0,2,4,54,46,11,11
402,409,0,2,5,4,1,3,0,0,7,3,65,35,15,9
403,402,0,1,5,5,3,3,0,0,4,6,44,56,12,9
404,405,2,1,5,5,5,8,0,0,5,2,31,69,11,13
405,404,1,3,3,4,0,0,1,0,7,7,36,64,15,19
406,403,0,0,3,5,1,5,0,0,1,4,35,65,8,11
407,400,4,0,5,5,1,2,0,0,14,4,68,32,24,8
408,406,0,4,5,5,2,1,0,0,0,6,37,63,9,20
409,407,0,1,5,5,4,3,0,0,6,2,70,30,12,13
410,417,3,0,5,5,1,2,0,0,2,2,58,42,9,7
411,419,1,1,3,5,4,2,0,0,6,3,51,49,10,10
412,412,1,1,5,5,5,4,0,0,7,6,54,46,12,15
413,413,0,3,5,5,2,4,0,0,4,4,46,54,9,18
414,414,2,1,4,4,0,1,0,0,9,2,49,51,22,8
415,410,0,1,4,5,3,2,0,0,4,2,66,34,17,10
416,411,2,1,5,4,2,2,0,0,4,0,46,54,13,5
417,415,4,0,5,5,1,3,0,0,6,4,53,47,18,7
418,416,5,1,5,5,3,6,1,1,9,1,70,30,24,7
419,418,1,0,5,4,1,6,0,0,2,8,52,48,13,9
420,426,2,1,5,5,0,2,0,0,3,12,45,55,14,14
421,420,4,1,5,2,2,3,0,0,4,7,45,55,10,14
422,423,2,3,4,5,3,5,0,1,8,3,59,41,19,11
423,424,2,1,5,4,5,2,0,0,7,7,45,55,14,17
424,428,0,4,5,5,0,3,0,0,4,5,26,74,4,14
425,427,1,4,5,5,3,0,0,0,5,5,47,53,9,16
426,421,1,0,3,5,1,1,0,0,9,8,47,53,16,14
427,422,2,1,4,5,4,1,0,0,3,7,33,67,8,13
428,429,4,1,4,5,3,5,0,0,4,3,68,32,22,5
429,425,0,1,5,5,0,2,0,0,5,10,61,39,7,15
430,435,0,1,5,5,1,4,0,0,8,2,57,43,18,7
431,430,3,2,5,5,1,2,0,0,2,7,39,61,14,11
432,431,3,0,5,5,2,2,0,1,6,0,77,23,25,1
433,433,3,0,5,3,3,2,0,1,5,4,65,35,14,6
434,438,1,0,4,5,3,6,0,0,5,2,44,56,5,9
435,432,2,1,4,5,0,3,0,0,2,4,44,56,9,8
436,434,0,2,5,5,7,3,1,1,8,1,55,45,12,10
437,436,2,1,3,4,3,0,0,0,4,2,63,37,14,14
438,437,1,1,5,5,1,5,0,0,6,4,45,55,17,12
439,439,1,2,5,4,4,2,1,0,8,1,53,47,12,6
440,449,4,0,5,5,1,3,0,0,11,2,59,41,17,8
441,445,0,1,3,4,2,4,0,0,5,5,28,72,13,11
442,444,0,2,5,5,3,2,0,0,5,7,60,40,14,20
443,441,0,0,5,3,2,3,1,0,6,5,40,60,10,14
444,440,2,3,4,5,2,5,0,0,4,2,44,56,14,14
445,442,2,2,5,5,2,1,1,1,6,4,37,63,10,12
446,446,1,0,5,5,4,3,0,1,5,3,46,54,11,9
447,448,1,1,5,5,1,2,0,1,10,2,64,36,22,8
448,443,3,5,4,5,3,1,0,0,2,2,40,60,16,11
449,447,2,1,5,4,1,8,0,0,13,3,72,28,15,5
450,455,1,2,5,5,3,6,2,1,7,5,45,55,11,15
451,457,3,1,5,5,4,2,1,0,7,6,36,64,10,12
452,458,1,1,5,4,4,0,0,1,5,7,46,54,10,21
453,450,2,1,5,5,3,1,0,0,8,3,45,55,13,11
454,453,0,1,5,3,0,0,0,0,4,4,34,66,9,19
455,454,2,2,5,5,4,4,0,0,8,3,53,47,8,9
456,456,1,0,5,5,5,3,0,0,9,3,60,40,17,5
457,451,1,0,5,4,2,4,0,0,6,3,58,42,13,14
458,459,0,0,5,4,1,1,0,1,3,1,59,41,12,4
459,452,1,1,5,5,4,5,1,1,5,7,42,58,7,11
460,466,0,0,5,4,2,3,0,0,4,1,65,35,15,6
461,467,1,1,4,5,5,4,0,0,6,2,64,36,23,9
