id_dato_jugador_partido,id_jugador,id_partido,titular,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
33504,1773,760,1,0,0,0,-1,0,0,-1
33505,653,760,1,0,0,0,-1,0,0,-1
33506,1782,760,1,0,0,0,-1,0,0,-1
33507,654,760,1,0,0,0,-1,0,0,-1
33508,1778,760,1,0,0,0,66,0,0,1783
33509,1787,760,1,0,0,0,77,0,0,1785
33510,1789,760,1,0,0,0,77,0,0,1786
33511,1795,760,1,1,0,0,83,0,0,1799
33512,1792,760,1,0,0,0,-1,0,0,-1
33513,655,760,1,0,0,0,46,0,0,1791
33514,1797,760,1,0,0,0,-1,0,0,-1
33515,1774,760,0,0,0,0,-1,0,0,-1
33516,1772,760,0,0,0,0,-1,0,0,-1
33517,1781,760,0,0,0,0,-1,0,0,-1
33518,656,760,0,0,0,0,-1,0,0,-1
33519,1777,760,0,0,0,0,-1,0,0,-1
33520,1783,760,0,0,0,0,66,0,0,-1
33521,657,760,0,0,0,0,-1,0,0,-1
33522,658,760,0,0,0,0,-1,0,0,-1
33523,1785,760,0,0,0,0,77,0,0,-1
33524,1786,760,0,0,0,0,77,0,0,-1
33525,1791,760,0,0,0,0,46,0,0,-1
33526,1799,760,0,0,0,0,83,0,0,-1
33527,1646,760,1,0,0,0,-1,0,0,-1
33528,1650,760,1,0,0,0,-1,0,0,-1
33529,1649,760,1,0,0,0,-1,0,0,-1
33530,1653,760,1,0,0,0,-1,0,0,-1
33531,1651,760,1,0,0,0,-1,0,0,-1
33532,1660,760,1,1,0,0,86,0,0,1654
33533,1663,760,1,1,0,0,46,0,0,1661
33534,1659,760,1,0,0,0,63,0,0,662
33535,1662,760,1,0,0,0,82,0,1,1668
33536,1664,760,1,1,0,0,86,0,0,1655
33537,1666,760,1,0,0,0,-1,0,1,-1
33538,659,760,0,0,0,0,-1,0,0,-1
33539,1647,760,0,0,0,0,-1,0,0,-1
33540,660,760,0,0,0,0,-1,0,0,-1
33541,1654,760,0,0,0,0,86,0,0,-1
33542,1655,760,0,0,0,0,86,0,0,-1
33543,1661,760,0,0,0,0,46,0,0,-1
33544,1656,760,0,0,0,0,-1,0,0,-1
33545,661,760,0,0,0,0,-1,0,0,-1
33546,1668,760,0,0,0,0,82,0,0,-1
33547,662,760,0,0,0,0,63,0,0,-1
33548,1665,760,0,0,0,0,-1,0,0,-1
33549,663,764,1,0,0,0,-1,0,0,-1
33550,1556,764,1,1,0,0,-1,0,0,-1
33551,1553,764,1,0,1,0,-1,0,0,-1
33552,1555,764,1,1,0,0,-1,0,0,-1
33553,1550,764,1,0,0,0,69,0,0,1551
33554,664,764,1,1,0,0,-1,0,0,-1
33555,665,764,1,0,0,0,69,0,0,1560
33556,1579,764,1,0,0,0,-1,1,0,-1
33557,1573,764,1,0,0,0,56,0,0,1567
33558,1576,764,1,0,0,0,-1,0,0,-1
33559,1580,764,1,0,0,0,82,0,1,667
33560,1543,764,0,0,0,0,-1,0,0,-1
33561,666,764,0,0,0,0,-1,0,0,-1
33562,667,764,0,0,0,0,82,0,0,-1
33563,1547,764,0,0,0,0,-1,0,0,-1
33564,1551,764,0,0,0,0,69,0,0,-1
33565,1562,764,0,0,0,0,-1,0,0,-1
33566,1565,764,0,0,0,0,-1,0,0,-1
33567,1560,764,0,0,0,0,69,0,0,-1
33568,1567,764,0,0,0,0,56,0,0,-1
33569,668,764,0,0,0,0,-1,0,0,-1
33570,1578,764,0,0,0,0,-1,0,0,-1
33571,669,764,0,0,0,0,-1,0,0,-1
33572,1413,764,1,0,0,0,-1,0,0,-1
33573,1417,764,1,1,0,0,-1,0,0,-1
33574,670,764,1,0,0,0,-1,0,0,-1
33575,1420,764,1,0,0,0,87,0,0,1419
33576,1423,764,1,0,0,0,-1,0,0,-1
33577,1421,764,1,1,0,0,-1,0,1,-1
33578,1430,764,1,0,0,0,-1,0,0,-1
33579,1425,764,1,0,0,0,61,1,0,1418
33580,1434,764,1,0,0,1,65,0,0,1429
33581,1435,764,1,0,0,0,61,0,0,1427
33582,1436,764,1,0,0,0,-1,1,0,-1
33583,1412,764,0,0,0,0,-1,0,0,-1
33584,1414,764,0,0,0,0,-1,0,0,-1
33585,1422,764,0,0,0,0,-1,0,0,-1
33586,1419,764,0,0,0,0,87,0,0,-1
33587,1418,764,0,0,0,0,61,0,0,-1
33588,671,764,0,0,0,0,-1,0,0,-1
33589,1428,764,0,0,0,0,-1,0,0,-1
33590,1426,764,0,0,0,0,-1,0,0,-1
33591,1427,764,0,0,0,0,61,0,1,-1
33592,1429,764,0,0,0,0,65,0,0,-1
33593,1437,764,0,0,0,0,-1,0,0,-1
33594,1283,761,1,0,0,0,-1,0,0,-1
33595,1284,761,1,0,0,0,-1,0,0,-1
33596,1285,761,1,1,0,0,-1,0,0,-1
33597,1288,761,1,0,0,0,71,0,0,1287
33598,1289,761,1,0,0,0,-1,0,0,-1
33599,1299,761,1,0,0,0,64,0,0,1293
33600,1296,761,1,0,0,0,-1,0,0,-1
33601,1301,761,1,0,0,0,46,0,0,1300
33602,1297,761,1,1,0,0,46,0,0,1306
33603,1308,761,1,0,0,0,46,0,0,1304
33604,1307,761,1,1,0,0,-1,0,0,-1
33605,1282,761,0,0,0,0,-1,0,0,-1
33606,1287,761,0,0,0,0,71,0,0,-1
33607,672,761,0,0,0,0,-1,0,0,-1
33608,1294,761,0,0,0,0,-1,0,0,-1
33609,1300,761,0,0,0,0,46,0,0,-1
33610,1293,761,0,0,0,0,64,0,0,-1
33611,1309,761,0,0,0,0,-1,0,0,-1
33612,673,761,0,0,0,0,-1,0,0,-1
33613,1305,761,0,0,0,0,-1,0,0,-1
33614,1306,761,0,0,0,0,46,0,0,-1
33615,1303,761,0,0,0,0,-1,0,0,-1
