id_equipo,temporada,liga,nombre
40,2024,primera,Real-Madrid
41,2024,primera,Barcelona
42,2024,primera,Girona-Fc
43,2024,primera,Atletico-Madrid
44,2024,primera,Athletic-Bilbao
45,2024,primera,Real-Sociedad
46,2024,primera,Betis
47,2024,primera,Villarreal
48,2024,primera,Valencia-Cf
49,2024,primera,Alaves
50,2024,primera,Osasuna
51,2024,primera,Getafe
52,2024,primera,Sevilla
53,2024,primera,Celta
54,2024,primera,Ud-Palmas
55,2024,primera,Rayo-Vallecano
56,2024,primera,Mallorca
57,2024,primera,Cadiz
58,2024,primera,Granada
59,2024,primera,Almeria
