id_partido,fecha,temporada,liga,jornada,id_equipo_local,id_equipo_visitante,finalizado
760,2023-08-11,2024,primera,1,59,55,1
764,2023-08-11,2024,primera,1,52,48,1
761,2023-08-12,2024,primera,1,44,40,1
765,2023-08-12,2024,primera,1,54,56,1
767,2023-08-12,2024,primera,1,45,42,1
763,2023-08-13,2024,primera,1,53,50,1
766,2023-08-13,2024,primera,1,51,41,1
768,2023-08-13,2024,primera,1,47,46,1
762,2023-08-14,2024,primera,1,43,58,1
769,2023-08-14,2024,primera,1,57,49,1
779,2023-08-18,2024,primera,2,48,54,1
772,2023-08-18,2024,primera,2,56,47,1
777,2023-08-19,2024,primera,2,45,53,1
775,2023-08-19,2024,primera,2,50,44,1
770,2023-08-19,2024,primera,2,59,40,1
776,2023-08-20,2024,primera,2,46,43,1
771,2023-08-20,2024,primera,2,41,57,1
778,2023-08-20,2024,primera,2,42,51,1
773,2023-08-21,2024,primera,2,58,55,1
774,2023-08-21,2024,primera,2,49,52,1
781,2023-08-25,2024,primera,3,53,40,1
783,2023-08-25,2024,primera,3,54,45,1
782,2023-08-26,2024,primera,3,58,56,1
784,2023-08-26,2024,primera,3,57,59,1
787,2023-08-26,2024,primera,3,52,42,1
786,2023-08-27,2024,primera,3,47,41,1
788,2023-08-27,2024,primera,3,48,50,1
780,2023-08-27,2024,primera,3,44,46,1
785,2023-08-28,2024,primera,3,55,43,1
789,2023-08-28,2024,primera,3,51,49,1
790,2023-09-01,2024,primera,4,59,53,1
793,2023-09-01,2024,primera,4,57,47,1
799,2023-09-02,2024,primera,4,45,58,1
798,2023-09-02,2024,primera,4,40,51,1
792,2023-09-02,2024,primera,4,46,55,1
795,2023-09-02,2024,primera,4,49,48,1
797,2023-09-03,2024,primera,4,50,41,1
794,2023-09-03,2024,primera,4,42,54,1
796,2023-09-03,2024,primera,4,56,44,1
809,2023-09-15,2024,primera,5,55,49,1
806,2023-09-16,2024,primera,5,48,43,1
800,2023-09-16,2024,primera,5,44,57,1
801,2023-09-16,2024,primera,5,41,46,1
802,2023-09-16,2024,primera,5,53,56,1
803,2023-09-17,2024,primera,5,51,50,1
804,2023-09-17,2024,primera,5,40,45,1
805,2023-09-17,2024,primera,5,47,59,1
808,2023-09-17,2024,primera,5,52,54,1
807,2023-09-18,2024,primera,5,58,42,1
817,2023-09-22,2024,primera,6,49,44,1
811,2023-09-23,2024,primera,6,59,48,1
812,2023-09-23,2024,primera,6,41,53,1
814,2023-09-23,2024,primera,6,42,56,1
815,2023-09-23,2024,primera,6,50,52,1
810,2023-09-24,2024,primera,6,43,40,1
813,2023-09-24,2024,primera,6,46,57,1
816,2023-09-24,2024,primera,6,55,47,1
818,2023-09-24,2024,primera,6,45,51,1
819,2023-09-24,2024,primera,6,54,58,1
824,2023-09-26,2024,primera,7,56,41,1
