epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,1.2190866470336914
50,16,SGD,0,1,1.2103346586227417
50,16,SGD,0,2,1.1639103889465332
50,16,SGD,0,3,1.3485331535339355
50,16,SGD,0,4,1.2512025833129883
50,16,SGD,0,5,1.2143793106079102
50,16,SGD,0,6,1.25728178024292
50,16,SGD,1,0,1.0591243505477905
50,16,SGD,1,1,1.0733816623687744
50,16,SGD,1,2,1.0957105159759521
50,16,SGD,1,3,1.1232988834381104
50,16,SGD,1,4,1.119057536125183
50,16,SGD,1,5,1.1380481719970703
50,16,SGD,1,6,1.1119017601013184
50,16,adam,0,0,1.2333701848983765
50,16,adam,0,1,1.3571391105651855
50,16,adam,0,2,1.2549711465835571
50,16,adam,0,3,1.2328027486801147
50,16,adam,0,4,1.2080854177474976
50,16,adam,0,5,1.3230863809585571
50,16,adam,0,6,1.3109029531478882
50,16,adam,1,0,1.0842759609222412
50,16,adam,1,1,1.0776124000549316
50,16,adam,1,2,1.11240553855896
50,16,adam,1,3,1.1964234113693237
50,16,adam,1,4,1.1799898147583008
50,16,adam,1,5,1.085187554359436
50,16,adam,1,6,1.1940433979034424
50,48,SGD,0,0,1.178210973739624
50,48,SGD,0,1,1.1551377773284912
50,48,SGD,0,2,1.153668999671936
50,48,SGD,0,3,1.2110909223556519
50,48,SGD,0,4,1.1986383199691772
50,48,SGD,0,5,1.1238782405853271
50,48,SGD,0,6,1.0974754095077515
50,48,SGD,1,0,1.0961248874664307
50,48,SGD,1,1,1.0779249668121338
50,48,SGD,1,2,1.0882551670074463
50,48,SGD,1,3,1.0548276901245117
50,48,SGD,1,4,1.1151127815246582
50,48,SGD,1,5,1.084454894065857
50,48,SGD,1,6,1.1208058595657349
50,48,adam,0,0,1.2311660051345825
50,48,adam,0,1,1.2813775539398193
50,48,adam,0,2,1.2020515203475952
50,48,adam,0,3,1.1949607133865356
50,48,adam,0,4,1.1279836893081665
50,48,adam,0,5,1.3220157623291016
50,48,adam,0,6,1.1325669288635254
50,48,adam,1,0,1.108144998550415
50,48,adam,1,1,1.0633851289749146
50,48,adam,1,2,1.084894061088562
50,48,adam,1,3,1.0743327140808105
50,48,adam,1,4,1.1246100664138794
50,48,adam,1,5,1.069828987121582
50,48,adam,1,6,1.1355197429656982
80,16,SGD,0,0,1.2818243503570557
80,16,SGD,0,1,1.2249526977539062
80,16,SGD,0,2,1.1999739408493042
80,16,SGD,0,3,1.3381056785583496
80,16,SGD,0,4,1.4156912565231323
80,16,SGD,0,5,1.2969673871994019
80,16,SGD,0,6,1.3501415252685547
80,16,SGD,1,0,1.0608044862747192
80,16,SGD,1,1,1.1044304370880127
80,16,SGD,1,2,1.0740776062011719
80,16,SGD,1,3,1.1866484880447388
80,16,SGD,1,4,1.0988789796829224
80,16,SGD,1,5,1.0558712482452393
80,16,SGD,1,6,1.1540993452072144
80,16,adam,0,0,1.3059440851211548
80,16,adam,0,1,1.3839131593704224
80,16,adam,0,2,1.1799372434616089
80,16,adam,0,3,1.3325340747833252
80,16,adam,0,4,1.1815052032470703
80,16,adam,0,5,1.33953857421875
80,16,adam,0,6,1.4183112382888794
80,16,adam,1,0,1.0827850103378296
80,16,adam,1,1,1.1043678522109985
80,16,adam,1,2,1.1184511184692383
80,16,adam,1,3,1.2666714191436768
80,16,adam,1,4,1.2258204221725464
80,16,adam,1,5,1.0760003328323364
80,16,adam,1,6,1.1895997524261475
80,48,SGD,0,0,1.2243016958236694
80,48,SGD,0,1,1.3109580278396606
80,48,SGD,0,2,1.170157551765442
80,48,SGD,0,3,1.1604270935058594
80,48,SGD,0,4,1.0890939235687256
80,48,SGD,0,5,1.177006721496582
80,48,SGD,0,6,1.2990474700927734
80,48,SGD,1,0,1.1085035800933838
80,48,SGD,1,1,1.0904285907745361
80,48,SGD,1,2,1.104201078414917
80,48,SGD,1,3,1.1067285537719727
80,48,SGD,1,4,1.054009199142456
80,48,SGD,1,5,1.0780885219573975
80,48,SGD,1,6,1.1079953908920288
80,48,adam,0,0,1.2351785898208618
80,48,adam,0,1,1.3205015659332275
80,48,adam,0,2,1.304158091545105
80,48,adam,0,3,1.2533564567565918
80,48,adam,0,4,1.2062301635742188
80,48,adam,0,5,1.420070767402649
80,48,adam,0,6,1.1539580821990967
80,48,adam,1,0,1.055575966835022
80,48,adam,1,1,1.0959047079086304
80,48,adam,1,2,1.092888355255127
80,48,adam,1,3,1.4193906784057617
80,48,adam,1,4,1.0880967378616333
80,48,adam,1,5,1.0846257209777832
80,48,adam,1,6,1.1418194770812988
