epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,0.9412165284156799
50,16,SGD,0,1,0.931064784526825
50,16,SGD,0,2,0.9415117502212524
50,16,SGD,0,3,1.0431010723114014
50,16,SGD,0,4,1.0259504318237305
50,16,SGD,0,5,1.1151158809661865
50,16,SGD,0,6,0.9890357255935669
50,16,SGD,1,0,0.8843166828155518
50,16,SGD,1,1,0.9135173559188843
50,16,SGD,1,2,0.9157765507698059
50,16,SGD,1,3,0.881799042224884
50,16,SGD,1,4,0.8910040855407715
50,16,SGD,1,5,0.8959923386573792
50,16,SGD,1,6,0.8999441266059875
50,16,adam,0,0,0.9688946008682251
50,16,adam,0,1,0.9664691090583801
50,16,adam,0,2,0.9480615258216858
50,16,adam,0,3,1.0783970355987549
50,16,adam,0,4,0.9274530410766602
50,16,adam,0,5,1.0108325481414795
50,16,adam,0,6,1.0678530931472778
50,16,adam,1,0,0.9100317358970642
50,16,adam,1,1,0.9228207468986511
50,16,adam,1,2,0.9058667421340942
50,16,adam,1,3,0.9222767353057861
50,16,adam,1,4,1.008610486984253
50,16,adam,1,5,0.908534586429596
50,16,adam,1,6,0.9177548289299011
50,48,SGD,0,0,0.8912943601608276
50,48,SGD,0,1,0.9030364155769348
50,48,SGD,0,2,0.8693637847900391
50,48,SGD,0,3,1.048007607460022
50,48,SGD,0,4,0.952883780002594
50,48,SGD,0,5,1.0199545621871948
50,48,SGD,0,6,0.988431990146637
50,48,SGD,1,0,0.9010218381881714
50,48,SGD,1,1,0.9181505441665649
50,48,SGD,1,2,0.9075981378555298
50,48,SGD,1,3,0.8687884211540222
50,48,SGD,1,4,0.8958773016929626
50,48,SGD,1,5,0.8883654475212097
50,48,SGD,1,6,0.9051076173782349
50,48,adam,0,0,0.9173116683959961
50,48,adam,0,1,0.9426981210708618
50,48,adam,0,2,0.9147951602935791
50,48,adam,0,3,1.030218243598938
50,48,adam,0,4,0.9733522534370422
50,48,adam,0,5,1.0091359615325928
50,48,adam,0,6,1.0430079698562622
50,48,adam,1,0,0.9079998731613159
50,48,adam,1,1,0.9089983105659485
50,48,adam,1,2,0.891359269618988
50,48,adam,1,3,0.8873375654220581
50,48,adam,1,4,0.917750895023346
50,48,adam,1,5,0.8908659815788269
50,48,adam,1,6,0.9103641510009766
80,16,SGD,0,0,0.9818033576011658
80,16,SGD,0,1,0.9868159890174866
80,16,SGD,0,2,0.9571792483329773
80,16,SGD,0,3,1.0162882804870605
80,16,SGD,0,4,0.9848864674568176
80,16,SGD,0,5,1.065813660621643
80,16,SGD,0,6,1.0226372480392456
80,16,SGD,1,0,0.8929380774497986
80,16,SGD,1,1,0.9055957198143005
80,16,SGD,1,2,0.9001113772392273
80,16,SGD,1,3,0.91078782081604
80,16,SGD,1,4,0.9321036338806152
80,16,SGD,1,5,0.8943485617637634
80,16,SGD,1,6,0.9040724039077759
80,16,adam,0,0,0.9941320419311523
80,16,adam,0,1,1.0872620344161987
80,16,adam,0,2,1.0300580263137817
80,16,adam,0,3,1.076649785041809
80,16,adam,0,4,1.0893542766571045
80,16,adam,0,5,1.0964189767837524
80,16,adam,0,6,1.041617751121521
80,16,adam,1,0,0.9174196124076843
80,16,adam,1,1,0.8943517208099365
80,16,adam,1,2,0.9027254581451416
80,16,adam,1,3,0.9527977705001831
80,16,adam,1,4,0.912017822265625
80,16,adam,1,5,0.9091275334358215
80,16,adam,1,6,0.9484379291534424
80,48,SGD,0,0,0.9472153782844543
80,48,SGD,0,1,0.9290425777435303
80,48,SGD,0,2,0.8630257844924927
80,48,SGD,0,3,1.0662645101547241
80,48,SGD,0,4,0.9590392708778381
80,48,SGD,0,5,1.4222310781478882
80,48,SGD,0,6,0.9679114818572998
80,48,SGD,1,0,0.9038643836975098
80,48,SGD,1,1,0.9074158668518066
80,48,SGD,1,2,0.9134636521339417
80,48,SGD,1,3,0.9511112570762634
80,48,SGD,1,4,0.9172852635383606
80,48,SGD,1,5,0.9067147970199585
80,48,SGD,1,6,0.8904987573623657
80,48,adam,0,0,0.9273876547813416
80,48,adam,0,1,1.1136175394058228
80,48,adam,0,2,1.045495629310608
80,48,adam,0,3,1.0679508447647095
80,48,adam,0,4,0.9826328754425049
80,48,adam,0,5,1.1765735149383545
80,48,adam,0,6,1.012194275856018
80,48,adam,1,0,0.8884350657463074
80,48,adam,1,1,0.9127936363220215
80,48,adam,1,2,0.9072779417037964
80,48,adam,1,3,0.9118449687957764
80,48,adam,1,4,0.8945578336715698
80,48,adam,1,5,0.8804597854614258
80,48,adam,1,6,0.9202122688293457
