epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,1.1264569759368896
50,16,SGD,0,1,1.098407506942749
50,16,SGD,0,2,1.1834146976470947
50,16,SGD,0,3,1.276237964630127
50,16,SGD,0,4,1.209154725074768
50,16,SGD,0,5,1.1782969236373901
50,16,SGD,0,6,1.2081142663955688
50,16,SGD,1,0,1.0883991718292236
50,16,SGD,1,1,1.1179864406585693
50,16,SGD,1,2,1.0923411846160889
50,16,SGD,1,3,1.0711482763290405
50,16,SGD,1,4,1.0441672801971436
50,16,SGD,1,5,1.0915687084197998
50,16,SGD,1,6,1.0991991758346558
50,16,adam,0,0,1.1381860971450806
50,16,adam,0,1,1.323020100593567
50,16,adam,0,2,1.223586916923523
50,16,adam,0,3,1.2730841636657715
50,16,adam,0,4,1.255786418914795
50,16,adam,0,5,1.2974141836166382
50,16,adam,0,6,1.2463276386260986
50,16,adam,1,0,1.0812605619430542
50,16,adam,1,1,1.0984368324279785
50,16,adam,1,2,1.0949463844299316
50,16,adam,1,3,1.136468768119812
50,16,adam,1,4,1.1465140581130981
50,16,adam,1,5,1.0887417793273926
50,16,adam,1,6,1.1231305599212646
50,48,SGD,0,0,1.126712441444397
50,48,SGD,0,1,1.1174874305725098
50,48,SGD,0,2,1.1123032569885254
50,48,SGD,0,3,1.1966369152069092
50,48,SGD,0,4,1.1643905639648438
50,48,SGD,0,5,1.1072185039520264
50,48,SGD,0,6,1.137397050857544
50,48,SGD,1,0,1.1093602180480957
50,48,SGD,1,1,1.1043845415115356
50,48,SGD,1,2,1.0834691524505615
50,48,SGD,1,3,1.1037660837173462
50,48,SGD,1,4,1.0914275646209717
50,48,SGD,1,5,1.1120786666870117
50,48,SGD,1,6,1.1201395988464355
50,48,adam,0,0,1.103111982345581
50,48,adam,0,1,1.3245155811309814
50,48,adam,0,2,1.227266788482666
50,48,adam,0,3,1.2668395042419434
50,48,adam,0,4,1.1061179637908936
50,48,adam,0,5,1.2886310815811157
50,48,adam,0,6,1.1833199262619019
50,48,adam,1,0,1.0989727973937988
50,48,adam,1,1,1.1117045879364014
50,48,adam,1,2,1.114926815032959
50,48,adam,1,3,1.0639384984970093
50,48,adam,1,4,1.1103614568710327
50,48,adam,1,5,1.0867277383804321
50,48,adam,1,6,1.0949562788009644
80,16,SGD,0,0,1.1021560430526733
80,16,SGD,0,1,1.335723876953125
80,16,SGD,0,2,1.3450119495391846
80,16,SGD,0,3,1.3389487266540527
80,16,SGD,0,4,1.419865608215332
80,16,SGD,0,5,1.2828387022018433
80,16,SGD,0,6,1.2592631578445435
80,16,SGD,1,0,1.0845688581466675
80,16,SGD,1,1,1.1005576848983765
80,16,SGD,1,2,1.089586615562439
80,16,SGD,1,3,1.092576265335083
80,16,SGD,1,4,1.091198444366455
80,16,SGD,1,5,1.0905771255493164
80,16,SGD,1,6,1.1165915727615356
80,16,adam,0,0,1.251683235168457
80,16,adam,0,1,1.3096907138824463
80,16,adam,0,2,1.3228834867477417
80,16,adam,0,3,1.2804162502288818
80,16,adam,0,4,1.3475236892700195
80,16,adam,0,5,1.3505593538284302
80,16,adam,0,6,1.2621777057647705
80,16,adam,1,0,1.0895880460739136
80,16,adam,1,1,1.103383183479309
80,16,adam,1,2,1.0953987836837769
80,16,adam,1,3,1.1618437767028809
80,16,adam,1,4,1.1000834703445435
80,16,adam,1,5,1.0959467887878418
80,16,adam,1,6,1.1069250106811523
80,48,SGD,0,0,1.0945597887039185
80,48,SGD,0,1,1.1833443641662598
80,48,SGD,0,2,1.1215134859085083
80,48,SGD,0,3,1.2571560144424438
80,48,SGD,0,4,1.1751364469528198
80,48,SGD,0,5,1.2348129749298096
80,48,SGD,0,6,1.2083841562271118
80,48,SGD,1,0,1.1233725547790527
80,48,SGD,1,1,1.1295403242111206
80,48,SGD,1,2,1.0959302186965942
80,48,SGD,1,3,1.0893399715423584
80,48,SGD,1,4,1.1423895359039307
80,48,SGD,1,5,1.0972061157226562
80,48,SGD,1,6,1.1148483753204346
80,48,adam,0,0,1.1217117309570312
80,48,adam,0,1,1.3650504350662231
