epocas,batch,optimizador,callbacks,red,accuracy
50,16,SGD,0,0,0.29629629850387573
50,16,SGD,0,1,0.40740740299224854
50,16,SGD,0,2,0.40740740299224854
50,16,SGD,0,3,0.3333333432674408
50,16,SGD,0,4,0.3333333432674408
50,16,SGD,0,5,0.18518517911434174
50,16,SGD,0,6,0.3333333432674408
50,16,SGD,1,0,0.5185185074806213
50,16,SGD,1,1,0.40740740299224854
50,16,SGD,1,2,0.4444444477558136
50,16,SGD,1,3,0.3333333432674408
50,16,SGD,1,4,0.2222222238779068
50,16,SGD,1,5,0.25925925374031067
50,16,SGD,1,6,0.37037035822868347
50,16,adam,0,0,0.3333333432674408
50,16,adam,0,1,0.3333333432674408
50,16,adam,0,2,0.37037035822868347
50,16,adam,0,3,0.29629629850387573
50,16,adam,0,4,0.40740740299224854
50,16,adam,0,5,0.29629629850387573
50,16,adam,0,6,0.29629629850387573
50,16,adam,1,0,0.48148149251937866
50,16,adam,1,1,0.37037035822868347
50,16,adam,1,2,0.37037035822868347
50,16,adam,1,3,0.40740740299224854
50,16,adam,1,4,0.40740740299224854
50,16,adam,1,5,0.37037035822868347
50,16,adam,1,6,0.25925925374031067
50,48,SGD,0,0,0.29629629850387573
50,48,SGD,0,1,0.4444444477558136
50,48,SGD,0,2,0.29629629850387573
50,48,SGD,0,3,0.29629629850387573
50,48,SGD,0,4,0.3333333432674408
50,48,SGD,0,5,0.3333333432674408
50,48,SGD,0,6,0.40740740299224854
50,48,SGD,1,0,0.5185185074806213
50,48,SGD,1,1,0.48148149251937866
50,48,SGD,1,2,0.18518517911434174
50,48,SGD,1,3,0.3333333432674408
50,48,SGD,1,4,0.37037035822868347
50,48,SGD,1,5,0.40740740299224854
50,48,SGD,1,6,0.4444444477558136
50,48,adam,0,0,0.40740740299224854
50,48,adam,0,1,0.3333333432674408
50,48,adam,0,2,0.3333333432674408
50,48,adam,0,3,0.3333333432674408
50,48,adam,0,4,0.40740740299224854
50,48,adam,0,5,0.40740740299224854
50,48,adam,0,6,0.3333333432674408
50,48,adam,1,0,0.3333333432674408
50,48,adam,1,1,0.5555555820465088
50,48,adam,1,2,0.37037035822868347
50,48,adam,1,3,0.37037035822868347
50,48,adam,1,4,0.29629629850387573
50,48,adam,1,5,0.29629629850387573
50,48,adam,1,6,0.29629629850387573
80,16,SGD,0,0,0.3333333432674408
80,16,SGD,0,1,0.3333333432674408
80,16,SGD,0,2,0.40740740299224854
80,16,SGD,0,3,0.40740740299224854
80,16,SGD,0,4,0.3333333432674408
80,16,SGD,0,5,0.3333333432674408
80,16,SGD,0,6,0.25925925374031067
80,16,SGD,1,0,0.5185185074806213
80,16,SGD,1,1,0.37037035822868347
80,16,SGD,1,2,0.29629629850387573
80,16,SGD,1,3,0.25925925374031067
80,16,SGD,1,4,0.4444444477558136
80,16,SGD,1,5,0.3333333432674408
80,16,SGD,1,6,0.29629629850387573
80,16,adam,0,0,0.40740740299224854
80,16,adam,0,1,0.37037035822868347
80,16,adam,0,2,0.3333333432674408
80,16,adam,0,3,0.25925925374031067
80,16,adam,0,4,0.4444444477558136
80,16,adam,0,5,0.4444444477558136
80,16,adam,0,6,0.37037035822868347
80,16,adam,1,0,0.37037035822868347
80,16,adam,1,1,0.48148149251937866
80,16,adam,1,2,0.4444444477558136
80,16,adam,1,3,0.3333333432674408
80,16,adam,1,4,0.40740740299224854
80,16,adam,1,5,0.40740740299224854
80,16,adam,1,6,0.37037035822868347
80,48,SGD,0,0,0.4444444477558136
80,48,SGD,0,1,0.29629629850387573
80,48,SGD,0,2,0.40740740299224854
80,48,SGD,0,3,0.37037035822868347
80,48,SGD,0,4,0.25925925374031067
80,48,SGD,0,5,0.2222222238779068
80,48,SGD,0,6,0.40740740299224854
80,48,SGD,1,0,0.6666666865348816
80,48,SGD,1,1,0.2222222238779068
80,48,SGD,1,2,0.2222222238779068
80,48,SGD,1,3,0.2222222238779068
80,48,SGD,1,4,0.3333333432674408
80,48,SGD,1,5,0.29629629850387573
80,48,SGD,1,6,0.40740740299224854
80,48,adam,0,0,0.3333333432674408
80,48,adam,0,1,0.3333333432674408
80,48,adam,0,2,0.37037035822868347
80,48,adam,0,3,0.25925925374031067
80,48,adam,0,4,0.48148149251937866
80,48,adam,0,5,0.37037035822868347
80,48,adam,0,6,0.3333333432674408
80,48,adam,1,0,0.29629629850387573
80,48,adam,1,1,0.3333333432674408
80,48,adam,1,2,0.40740740299224854
80,48,adam,1,3,0.37037035822868347
80,48,adam,1,4,0.3333333432674408
80,48,adam,1,5,0.3333333432674408
80,48,adam,1,6,0.2222222238779068
