epocas,batch,optimizador,callbacks,red,accuracy
50,16,SGD,0,0,0.43529412150382996
50,16,SGD,0,1,0.3294117748737335
50,16,SGD,0,2,0.3529411852359772
50,16,SGD,0,3,0.34117648005485535
50,16,SGD,0,4,0.4117647111415863
50,16,SGD,0,5,0.3588235378265381
50,16,SGD,0,6,0.3529411852359772
50,16,SGD,1,0,0.3235294222831726
50,16,SGD,1,1,0.4000000059604645
50,16,SGD,1,2,0.4470588266849518
50,16,SGD,1,3,0.42352941632270813
50,16,SGD,1,4,0.38235294818878174
50,16,SGD,1,5,0.4529411792755127
50,16,SGD,1,6,0.4058823585510254
50,16,adam,0,0,0.42941176891326904
50,16,adam,0,1,0.38823530077934265
50,16,adam,0,2,0.4117647111415863
50,16,adam,0,3,0.3588235378265381
50,16,adam,0,4,0.3588235378265381
50,16,adam,0,5,0.3588235378265381
50,16,adam,0,6,0.33529412746429443
50,16,adam,1,0,0.4117647111415863
50,16,adam,1,1,0.4529411792755127
50,16,adam,1,2,0.4117647111415863
50,16,adam,1,3,0.4117647111415863
50,16,adam,1,4,0.4117647111415863
50,16,adam,1,5,0.4529411792755127
50,16,adam,1,6,0.4058823585510254
50,48,SGD,0,0,0.4117647111415863
50,48,SGD,0,1,0.3529411852359772
50,48,SGD,0,2,0.39411765336990356
50,48,SGD,0,3,0.38235294818878174
50,48,SGD,0,4,0.42352941632270813
50,48,SGD,0,5,0.38823530077934265
50,48,SGD,0,6,0.34705883264541626
50,48,SGD,1,0,0.39411765336990356
50,48,SGD,1,1,0.3705882430076599
50,48,SGD,1,2,0.33529412746429443
50,48,SGD,1,3,0.4117647111415863
50,48,SGD,1,4,0.364705890417099
50,48,SGD,1,5,0.34705883264541626
50,48,SGD,1,6,0.3705882430076599
50,48,adam,0,0,0.42941176891326904
50,48,adam,0,1,0.4588235318660736
50,48,adam,0,2,0.3764705955982208
50,48,adam,0,3,0.38823530077934265
50,48,adam,0,4,0.34705883264541626
50,48,adam,0,5,0.4470588266849518
50,48,adam,0,6,0.38823530077934265
50,48,adam,1,0,0.38235294818878174
50,48,adam,1,1,0.4117647111415863
50,48,adam,1,2,0.42941176891326904
50,48,adam,1,3,0.3764705955982208
50,48,adam,1,4,0.4470588266849518
50,48,adam,1,5,0.38235294818878174
50,48,adam,1,6,0.34117648005485535
80,16,SGD,0,0,0.4588235318660736
80,16,SGD,0,1,0.4529411792755127
80,16,SGD,0,2,0.4000000059604645
80,16,SGD,0,3,0.38823530077934265
80,16,SGD,0,4,0.4470588266849518
80,16,SGD,0,5,0.4117647111415863
80,16,SGD,0,6,0.38823530077934265
80,16,SGD,1,0,0.4058823585510254
80,16,SGD,1,1,0.34705883264541626
80,16,SGD,1,2,0.4058823585510254
80,16,SGD,1,3,0.4058823585510254
80,16,SGD,1,4,0.33529412746429443
80,16,SGD,1,5,0.3764705955982208
80,16,SGD,1,6,0.3705882430076599
80,16,adam,0,0,0.3529411852359772
80,16,adam,0,1,0.364705890417099
80,16,adam,0,2,0.34117648005485535
80,16,adam,0,3,0.39411765336990356
80,16,adam,0,4,0.364705890417099
80,16,adam,0,5,0.38823530077934265
80,16,adam,0,6,0.4000000059604645
80,16,adam,1,0,0.4176470637321472
80,16,adam,1,1,0.4470588266849518
80,16,adam,1,2,0.43529412150382996
80,16,adam,1,3,0.4058823585510254
80,16,adam,1,4,0.28823530673980713
80,16,adam,1,5,0.3529411852359772
80,16,adam,1,6,0.364705890417099
80,48,SGD,0,0,0.39411765336990356
80,48,SGD,0,1,0.4176470637321472
80,48,SGD,0,2,0.4176470637321472
80,48,SGD,0,3,0.4000000059604645
80,48,SGD,0,4,0.364705890417099
80,48,SGD,0,5,0.38235294818878174
80,48,SGD,0,6,0.4470588266849518
80,48,SGD,1,0,0.3764705955982208
80,48,SGD,1,1,0.2823529541492462
80,48,SGD,1,2,0.3764705955982208
80,48,SGD,1,3,0.2764706015586853
80,48,SGD,1,4,0.33529412746429443
80,48,SGD,1,5,0.34117648005485535
80,48,SGD,1,6,0.3294117748737335
80,48,adam,0,0,0.4117647111415863
80,48,adam,0,1,0.3588235378265381
80,48,adam,0,2,0.39411765336990356
80,48,adam,0,3,0.44117647409439087
80,48,adam,0,4,0.3294117748737335
80,48,adam,0,5,0.4058823585510254
80,48,adam,0,6,0.3529411852359772
80,48,adam,1,0,0.3705882430076599
80,48,adam,1,1,0.4176470637321472
80,48,adam,1,2,0.3529411852359772
80,48,adam,1,3,0.30000001192092896
80,48,adam,1,4,0.4000000059604645
80,48,adam,1,5,0.3588235378265381
80,48,adam,1,6,0.30588236451148987
