epocas,batch,optimizador,callbacks,red,accuracy
50,16,SGD,0,0,0.4528301954269409
50,16,SGD,0,1,0.5094339847564697
50,16,SGD,0,2,0.49056604504585266
50,16,SGD,0,3,0.37735849618911743
50,16,SGD,0,4,0.4528301954269409
50,16,SGD,0,5,0.5471698045730591
50,16,SGD,0,6,0.4150943458080292
50,16,SGD,1,0,0.3207547068595886
50,16,SGD,1,1,0.37735849618911743
50,16,SGD,1,2,0.49056604504585266
50,16,SGD,1,3,0.2830188572406769
50,16,SGD,1,4,0.5660377144813538
50,16,SGD,1,5,0.43396225571632385
50,16,SGD,1,6,0.4716981053352356
50,16,adam,0,0,0.43396225571632385
50,16,adam,0,1,0.43396225571632385
50,16,adam,0,2,0.3962264060974121
50,16,adam,0,3,0.4528301954269409
50,16,adam,0,4,0.3962264060974121
50,16,adam,0,5,0.4716981053352356
50,16,adam,0,6,0.37735849618911743
50,16,adam,1,0,0.35849055647850037
50,16,adam,1,1,0.30188679695129395
50,16,adam,1,2,0.4150943458080292
50,16,adam,1,3,0.2830188572406769
50,16,adam,1,4,0.4716981053352356
50,16,adam,1,5,0.3962264060974121
50,16,adam,1,6,0.3396226465702057
50,48,SGD,0,0,0.49056604504585266
50,48,SGD,0,1,0.4716981053352356
50,48,SGD,0,2,0.49056604504585266
50,48,SGD,0,3,0.5094339847564697
50,48,SGD,0,4,0.3962264060974121
50,48,SGD,0,5,0.5283018946647644
50,48,SGD,0,6,0.4528301954269409
50,48,SGD,1,0,0.4528301954269409
50,48,SGD,1,1,0.2641509473323822
50,48,SGD,1,2,0.3396226465702057
50,48,SGD,1,3,0.24528302252292633
50,48,SGD,1,4,0.3396226465702057
50,48,SGD,1,5,0.3207547068595886
50,48,SGD,1,6,0.3207547068595886
50,48,adam,0,0,0.4716981053352356
50,48,adam,0,1,0.35849055647850037
50,48,adam,0,2,0.3962264060974121
50,48,adam,0,3,0.35849055647850037
50,48,adam,0,4,0.5094339847564697
50,48,adam,0,5,0.43396225571632385
50,48,adam,0,6,0.4528301954269409
50,48,adam,1,0,0.3207547068595886
50,48,adam,1,1,0.4150943458080292
50,48,adam,1,2,0.3207547068595886
50,48,adam,1,3,0.2830188572406769
50,48,adam,1,4,0.30188679695129395
50,48,adam,1,5,0.3396226465702057
50,48,adam,1,6,0.2830188572406769
80,16,SGD,0,0,0.43396225571632385
80,16,SGD,0,1,0.4716981053352356
80,16,SGD,0,2,0.37735849618911743
80,16,SGD,0,3,0.35849055647850037
80,16,SGD,0,4,0.49056604504585266
80,16,SGD,0,5,0.4528301954269409
80,16,SGD,0,6,0.4528301954269409
80,16,SGD,1,0,0.30188679695129395
80,16,SGD,1,1,0.5094339847564697
80,16,SGD,1,2,0.2641509473323822
80,16,SGD,1,3,0.3207547068595886
80,16,SGD,1,4,0.30188679695129395
80,16,SGD,1,5,0.5283018946647644
80,16,SGD,1,6,0.4150943458080292
80,16,adam,0,0,0.3962264060974121
80,16,adam,0,1,0.4716981053352356
80,16,adam,0,2,0.5471698045730591
80,16,adam,0,3,0.37735849618911743
80,16,adam,0,4,0.5094339847564697
80,16,adam,0,5,0.5283018946647644
80,16,adam,0,6,0.3396226465702057
80,16,adam,1,0,0.43396225571632385
80,16,adam,1,1,0.49056604504585266
80,16,adam,1,2,0.49056604504585266
80,16,adam,1,3,0.3207547068595886
80,16,adam,1,4,0.4150943458080292
80,16,adam,1,5,0.37735849618911743
80,16,adam,1,6,0.4528301954269409
80,48,SGD,0,0,0.4528301954269409
80,48,SGD,0,1,0.43396225571632385
80,48,SGD,0,2,0.4716981053352356
80,48,SGD,0,3,0.49056604504585266
80,48,SGD,0,4,0.37735849618911743
80,48,SGD,0,5,0.5094339847564697
80,48,SGD,0,6,0.3396226465702057
80,48,SGD,1,0,0.3396226465702057
80,48,SGD,1,1,0.43396225571632385
80,48,SGD,1,2,0.5094339847564697
80,48,SGD,1,3,0.5094339847564697
80,48,SGD,1,4,0.35849055647850037
80,48,SGD,1,5,0.4528301954269409
80,48,SGD,1,6,0.2830188572406769
80,48,adam,0,0,0.43396225571632385
80,48,adam,0,1,0.49056604504585266
80,48,adam,0,2,0.3962264060974121
80,48,adam,0,3,0.5471698045730591
80,48,adam,0,4,0.35849055647850037
80,48,adam,0,5,0.4716981053352356
80,48,adam,0,6,0.5471698045730591
80,48,adam,1,0,0.37735849618911743
80,48,adam,1,1,0.4150943458080292
80,48,adam,1,2,0.5094339847564697
80,48,adam,1,3,0.43396225571632385
80,48,adam,1,4,0.49056604504585266
80,48,adam,1,5,0.37735849618911743
80,48,adam,1,6,0.5094339847564697
