epocas,batch,optimizador,callbacks,red,accuracy
50,16,SGD,0,0,0.380952388048172
50,16,SGD,0,1,0.4047619104385376
50,16,SGD,0,2,0.4166666567325592
50,16,SGD,0,3,0.3214285671710968
50,16,SGD,0,4,0.3928571343421936
50,16,SGD,0,5,0.386904776096344
50,16,SGD,0,6,0.3928571343421936
50,16,SGD,1,0,0.3273809552192688
50,16,SGD,1,1,0.4226190447807312
50,16,SGD,1,2,0.4285714328289032
50,16,SGD,1,3,0.4047619104385376
50,16,SGD,1,4,0.3988095223903656
50,16,SGD,1,5,0.375
50,16,SGD,1,6,0.4345238208770752
50,16,adam,0,0,0.386904776096344
50,16,adam,0,1,0.380952388048172
50,16,adam,0,2,0.3333333432674408
50,16,adam,0,3,0.4226190447807312
50,16,adam,0,4,0.375
50,16,adam,0,5,0.3928571343421936
50,16,adam,0,6,0.375
50,16,adam,1,0,0.4226190447807312
50,16,adam,1,1,0.4404761791229248
50,16,adam,1,2,0.4166666567325592
50,16,adam,1,3,0.3095238208770752
50,16,adam,1,4,0.4583333432674408
50,16,adam,1,5,0.4642857015132904
50,16,adam,1,6,0.4523809552192688
50,48,SGD,0,0,0.3988095223903656
50,48,SGD,0,1,0.4404761791229248
50,48,SGD,0,2,0.4047619104385376
50,48,SGD,0,3,0.363095223903656
50,48,SGD,0,4,0.380952388048172
50,48,SGD,0,5,0.3928571343421936
50,48,SGD,0,6,0.3095238208770752
50,48,SGD,1,0,0.3928571343421936
50,48,SGD,1,1,0.4404761791229248
50,48,SGD,1,2,0.4583333432674408
50,48,SGD,1,3,0.488095223903656
50,48,SGD,1,4,0.255952388048172
50,48,SGD,1,5,0.375
50,48,SGD,1,6,0.4047619104385376
50,48,adam,0,0,0.3273809552192688
50,48,adam,0,1,0.3928571343421936
50,48,adam,0,2,0.3214285671710968
50,48,adam,0,3,0.3511904776096344
50,48,adam,0,4,0.369047611951828
50,48,adam,0,5,0.3154761791229248
50,48,adam,0,6,0.386904776096344
50,48,adam,1,0,0.4166666567325592
50,48,adam,1,1,0.375
50,48,adam,1,2,0.4583333432674408
50,48,adam,1,3,0.4702380895614624
50,48,adam,1,4,0.4166666567325592
50,48,adam,1,5,0.4107142984867096
50,48,adam,1,6,0.4404761791229248
80,16,SGD,0,0,0.4047619104385376
80,16,SGD,0,1,0.2916666567325592
80,16,SGD,0,2,0.386904776096344
80,16,SGD,0,3,0.3988095223903656
80,16,SGD,0,4,0.386904776096344
80,16,SGD,0,5,0.4166666567325592
80,16,SGD,0,6,0.380952388048172
80,16,SGD,1,0,0.363095223903656
80,16,SGD,1,1,0.4107142984867096
80,16,SGD,1,2,0.4345238208770752
80,16,SGD,1,3,0.4583333432674408
80,16,SGD,1,4,0.4345238208770752
80,16,SGD,1,5,0.4464285671710968
80,16,SGD,1,6,0.3511904776096344
80,16,adam,0,0,0.3988095223903656
80,16,adam,0,1,0.4166666567325592
80,16,adam,0,2,0.3988095223903656
80,16,adam,0,3,0.3571428656578064
80,16,adam,0,4,0.4107142984867096
80,16,adam,0,5,0.369047611951828
80,16,adam,0,6,0.4166666567325592
80,16,adam,1,0,0.4761904776096344
80,16,adam,1,1,0.4583333432674408
80,16,adam,1,2,0.369047611951828
80,16,adam,1,3,0.4345238208770752
80,16,adam,1,4,0.4285714328289032
80,16,adam,1,5,0.4345238208770752
80,16,adam,1,6,0.4404761791229248
80,48,SGD,0,0,0.375
80,48,SGD,0,1,0.4285714328289032
80,48,SGD,0,2,0.4047619104385376
80,48,SGD,0,3,0.3273809552192688
80,48,SGD,0,4,0.386904776096344
80,48,SGD,0,5,0.363095223903656
80,48,SGD,0,6,0.375
80,48,SGD,1,0,0.375
80,48,SGD,1,1,0.4166666567325592
80,48,SGD,1,2,0.4047619104385376
80,48,SGD,1,3,0.4642857015132904
80,48,SGD,1,4,0.4226190447807312
80,48,SGD,1,5,0.369047611951828
80,48,SGD,1,6,0.380952388048172
80,48,adam,0,0,0.3452380895614624
80,48,adam,0,1,0.363095223903656
80,48,adam,0,2,0.369047611951828
80,48,adam,0,3,0.4166666567325592
80,48,adam,0,4,0.4226190447807312
80,48,adam,0,5,0.363095223903656
80,48,adam,0,6,0.3571428656578064
80,48,adam,1,0,0.4047619104385376
80,48,adam,1,1,0.3988095223903656
80,48,adam,1,2,0.4523809552192688
80,48,adam,1,3,0.4523809552192688
80,48,adam,1,4,0.488095223903656
80,48,adam,1,5,0.4761904776096344
80,48,adam,1,6,0.3988095223903656
