epocas,batch,optimizador,callbacks,red,accuracy
50,16,SGD,0,0,0.4171122908592224
50,16,SGD,0,1,0.427807480096817
50,16,SGD,0,2,0.45989304780960083
50,16,SGD,0,3,0.3475935757160187
50,16,SGD,0,4,0.3957219123840332
50,16,SGD,0,5,0.45989304780960083
50,16,SGD,0,6,0.4438502788543701
50,16,SGD,1,0,0.46524062752723694
50,16,SGD,1,1,0.47058823704719543
50,16,SGD,1,2,0.46524062752723694
50,16,SGD,1,3,0.3529411852359772
50,16,SGD,1,4,0.46524062752723694
50,16,SGD,1,5,0.48128342628479004
50,16,SGD,1,6,0.3689839541912079
50,16,adam,0,0,0.3636363744735718
50,16,adam,0,1,0.427807480096817
50,16,adam,0,2,0.3529411852359772
50,16,adam,0,3,0.4064171016216278
50,16,adam,0,4,0.3850267231464386
50,16,adam,0,5,0.4331550896167755
50,16,adam,0,6,0.3850267231464386
50,16,adam,1,0,0.47593581676483154
50,16,adam,1,1,0.47593581676483154
50,16,adam,1,2,0.45989304780960083
50,16,adam,1,3,0.3957219123840332
50,16,adam,1,4,0.3903743326663971
50,16,adam,1,5,0.45989304780960083
50,16,adam,1,6,0.4224599003791809
50,48,SGD,0,0,0.4171122908592224
50,48,SGD,0,1,0.4545454680919647
50,48,SGD,0,2,0.4117647111415863
50,48,SGD,0,3,0.4117647111415863
50,48,SGD,0,4,0.3475935757160187
50,48,SGD,0,5,0.4331550896167755
50,48,SGD,0,6,0.4117647111415863
50,48,SGD,1,0,0.4010695219039917
50,48,SGD,1,1,0.427807480096817
50,48,SGD,1,2,0.4010695219039917
50,48,SGD,1,3,0.4331550896167755
50,48,SGD,1,4,0.4331550896167755
50,48,SGD,1,5,0.3796791434288025
50,48,SGD,1,6,0.34224599599838257
50,48,adam,0,0,0.4010695219039917
50,48,adam,0,1,0.3903743326663971
50,48,adam,0,2,0.4385026693344116
50,48,adam,0,3,0.4171122908592224
50,48,adam,0,4,0.4491978585720062
50,48,adam,0,5,0.4010695219039917
50,48,adam,0,6,0.3903743326663971
50,48,adam,1,0,0.47593581676483154
50,48,adam,1,1,0.4491978585720062
50,48,adam,1,2,0.4545454680919647
50,48,adam,1,3,0.45989304780960083
50,48,adam,1,4,0.4545454680919647
50,48,adam,1,5,0.4491978585720062
50,48,adam,1,6,0.4064171016216278
80,16,SGD,0,0,0.4491978585720062
80,16,SGD,0,1,0.4117647111415863
80,16,SGD,0,2,0.4171122908592224
80,16,SGD,0,3,0.3529411852359772
80,16,SGD,0,4,0.3903743326663971
80,16,SGD,0,5,0.4385026693344116
80,16,SGD,0,6,0.4171122908592224
80,16,SGD,1,0,0.3850267231464386
80,16,SGD,1,1,0.45989304780960083
80,16,SGD,1,2,0.4438502788543701
80,16,SGD,1,3,0.4171122908592224
80,16,SGD,1,4,0.3850267231464386
80,16,SGD,1,5,0.45989304780960083
80,16,SGD,1,6,0.3850267231464386
80,16,adam,0,0,0.3796791434288025
80,16,adam,0,1,0.4171122908592224
80,16,adam,0,2,0.3689839541912079
80,16,adam,0,3,0.3903743326663971
80,16,adam,0,4,0.4171122908592224
80,16,adam,0,5,0.4171122908592224
80,16,adam,0,6,0.3636363744735718
80,16,adam,1,0,0.4491978585720062
80,16,adam,1,1,0.4438502788543701
80,16,adam,1,2,0.4491978585720062
80,16,adam,1,3,0.4385026693344116
80,16,adam,1,4,0.47058823704719543
80,16,adam,1,5,0.47593581676483154
80,16,adam,1,6,0.4438502788543701
80,48,SGD,0,0,0.4491978585720062
80,48,SGD,0,1,0.427807480096817
80,48,SGD,0,2,0.49197861552238464
80,48,SGD,0,3,0.3689839541912079
80,48,SGD,0,4,0.3743315637111664
80,48,SGD,0,5,0.4438502788543701
80,48,SGD,0,6,0.3689839541912079
80,48,SGD,1,0,0.47058823704719543
80,48,SGD,1,1,0.427807480096817
80,48,SGD,1,2,0.4224599003791809
80,48,SGD,1,3,0.4117647111415863
80,48,SGD,1,4,0.4010695219039917
80,48,SGD,1,5,0.4064171016216278
80,48,SGD,1,6,0.4438502788543701
80,48,adam,0,0,0.4064171016216278
80,48,adam,0,1,0.3903743326663971
80,48,adam,0,2,0.3903743326663971
80,48,adam,0,3,0.3903743326663971
80,48,adam,0,4,0.4385026693344116
80,48,adam,0,5,0.4545454680919647
80,48,adam,0,6,0.4064171016216278
80,48,adam,1,0,0.4438502788543701
80,48,adam,1,1,0.4224599003791809
80,48,adam,1,2,0.45989304780960083
80,48,adam,1,3,0.427807480096817
80,48,adam,1,4,0.4171122908592224
80,48,adam,1,5,0.45989304780960083
80,48,adam,1,6,0.47593581676483154
